series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,7.6,21.68609848129201,7.160559440559443,21.828473596099432,7.160559440559443,21.828473596099432
sorted_curves,1.0,8.2,21.68609848129201,7.570349650349641,21.382364903036187,7.570349650349641,21.382364903036187
sorted_curves,2.0,9.7,21.68609848129201,10.32955710955709,21.488355266281715,10.32955710955709,21.488355266281715
sorted_curves,3.0,10.9,21.68609848129201,14.778974358974331,22.145653712975964,14.778974358974331,22.145653712975964
sorted_curves,4.0,23.0,23.04340790912273,20.25939393939391,23.3534692702589,20.25939393939391,23.3534692702589
sorted_curves,5.0,25.82,25.079372050868812,26.11160839160846,25.111010965270523,25.111010965270523,26.11160839160846
sorted_curves,6.0,35.0,28.47264562044561,28.87762237762245,26.677137228152127,26.677137228152127,28.87762237762245
sorted_curves,7.0,36.5,29.15130033436097,29.01282051282059,26.23419242652905,26.23419242652905,29.01282051282059
sorted_curves,8.0,37.2,35.25919275959921,33.26573426573435,28.54383317784939,28.54383317784939,33.26573426573435
sorted_curves,9.0,37.5,35.937847473514566,37.98974358974381,33.433627398624196,33.433627398624196,37.98974358974381
sorted_curves,10.0,40.0,42.72439461266816,49.652540792541046,44.93990959364372,44.93990959364372,49.652540792541046
sorted_curves,11.0,66.58,55.61883417706001,71.23696969696998,65.49808519897489,65.49808519897489,71.23696969696998
sorted_curves,12.0,121.0,103.12466415113519,105.72587412587447,97.54355965068459,97.54355965068459,105.72587412587447
sorted_curves,13.0,150.0,143.84394698605678,156.10209790209828,143.5117383848397,143.5117383848397,156.10209790209828
