series,actual,predicted
point,285.0,80.66524504922418
point,270.0,80.66878444701442
point,260.0,80.67055414590955
point,277.0,80.66524504922418
point,286.0,80.66556949402161
point,296.0,80.66586444383746
point,269.0,80.66615939365332
point,293.0,80.66524504922418
point,187.8,80.66530403918735
point,123.4,80.6653925241321
point,297.3,80.66553999904004
point,258.0,80.66583494885589
point,260.9,80.66524504922418
point,318.1,80.66671979830345
parity_reference,80.66524504922418,80.66524504922418
parity_reference,81.85838452133864,81.85838452133864
parity_reference,83.05152399345309,83.05152399345309
parity_reference,84.24466346556754,84.24466346556754
parity_reference,85.437802937682,85.437802937682
parity_reference,86.63094240979643,86.63094240979643
parity_reference,87.82408188191089,87.82408188191089
parity_reference,89.01722135402534,89.01722135402534
parity_reference,90.21036082613979,90.21036082613979
parity_reference,91.40350029825424,91.40350029825424
parity_reference,92.5966397703687,92.5966397703687
parity_reference,93.78977924248315,93.78977924248315
parity_reference,94.9829187145976,94.9829187145976
parity_reference,96.17605818671205,96.17605818671205
parity_reference,97.36919765882651,97.36919765882651
parity_reference,98.56233713094096,98.56233713094096
parity_reference,99.7554766030554,99.7554766030554
parity_reference,100.94861607516987,100.94861607516987
parity_reference,102.1417555472843,102.1417555472843
parity_reference,103.33489501939876,103.33489501939876
parity_reference,104.52803449151321,104.52803449151321
parity_reference,105.72117396362766,105.72117396362766
parity_reference,106.91431343574212,106.91431343574212
parity_reference,108.10745290785657,108.10745290785657
parity_reference,109.30059237997102,109.30059237997102
parity_reference,110.49373185208547,110.49373185208547
parity_reference,111.68687132419993,111.68687132419993
parity_reference,112.88001079631437,112.88001079631437
parity_reference,114.07315026842883,114.07315026842883
parity_reference,115.26628974054327,115.26628974054327
parity_reference,116.45942921265772,116.45942921265772
parity_reference,117.65256868477218,117.65256868477218
parity_reference,118.84570815688663,118.84570815688663
parity_reference,120.03884762900108,120.03884762900108
parity_reference,121.23198710111554,121.23198710111554
parity_reference,122.42512657322999,122.42512657322999
parity_reference,123.61826604534443,123.61826604534443
parity_reference,124.8114055174589,124.8114055174589
parity_reference,126.00454498957333,126.00454498957333
parity_reference,127.1976844616878,127.1976844616878
parity_reference,128.39082393380224,128.39082393380224
parity_reference,129.58396340591668,129.58396340591668
parity_reference,130.77710287803114,130.77710287803114
parity_reference,131.9702423501456,131.9702423501456
parity_reference,133.16338182226005,133.16338182226005
parity_reference,134.3565212943745,134.3565212943745
parity_reference,135.54966076648896,135.54966076648896
parity_reference,136.7428002386034,136.7428002386034
parity_reference,137.93593971071786,137.93593971071786
parity_reference,139.1290791828323,139.1290791828323
parity_reference,140.32221865494677,140.32221865494677
parity_reference,141.5153581270612,141.5153581270612
parity_reference,142.70849759917564,142.70849759917564
parity_reference,143.9016370712901,143.9016370712901
parity_reference,145.09477654340458,145.09477654340458
parity_reference,146.28791601551902,146.28791601551902
parity_reference,147.48105548763345,147.48105548763345
parity_reference,148.67419495974792,148.67419495974792
parity_reference,149.8673344318624,149.8673344318624
parity_reference,151.0604739039768,151.0604739039768
parity_reference,152.25361337609127,152.25361337609127
