series,predicted,residual
point,245.99505331506077,39.00494668493923
point,276.7808552486928,-6.780855248692774
point,258.4171694880071,1.5828305119928814
point,245.99505331506077,31.004946684939227
point,263.8236716625775,22.17632833742249
point,276.2479889254075,19.752011074592474
point,285.41345263035174,-16.413452630351742
point,245.99505331506077,47.00494668493923
point,249.57992466921937,-61.779924669219355
point,254.6661439593876,-131.2661439593876
point,262.389167716448,34.910832283552
point,275.15770644101343,-17.15770644101343
point,245.99505331506077,14.904946684939205
point,295.04370599865223,23.056294001347794
