series,residual,kde_x,kde_density
residual_sample,-3.153483362856818,,
residual_sample,7.725900098876082e-05,,
residual_sample,7.727839664539715e-05,,
residual_sample,-33.453483362856815,,
residual_sample,-0.02104144034976585,,
residual_sample,-8.527573605565664e-05,,
residual_sample,-5.9429569343905086e-05,,
residual_sample,23.42651663714318,,
residual_sample,-0.18167550362967688,,
residual_sample,0.018884611574783605,,
residual_sample,0.06824784229614522,,
residual_sample,-8.52619834432744e-05,,
residual_sample,-17.333483362856818,,
residual_sample,-0.000853801322026726,,
kde,,-33.453483362856815,0.004299466456482111
kde,,-33.167654217128174,0.00432587436318241
kde,,-32.881825071399525,0.0043481229468456
kde,,-32.595995925670884,0.004366356375825367
kde,,-32.31016677994224,0.0043807470793621435
kde,,-32.0243376342136,0.004391494473558833
kde,,-31.738508488484957,0.004398823434202361
kde,,-31.452679342756312,0.004402982532805623
kde,,-31.16685019702767,0.004404242055670992
kde,,-30.881021051299026,0.004402891829031165
kde,,-30.59519190557038,0.004399238876358307
kde,,-30.30936275984174,0.0043936049367034975
kde,,-30.0235336141131,0.004386323875392607
kde,,-29.737704468384454,0.0043777390205230185
kde,,-29.45187532265581,0.004368200460442623
kde,,-29.166046176927168,0.004358062338716873
kde,,-28.880217031198523,0.004347680183975229
kde,,-28.59438788546988,0.004337408312453218
kde,,-28.308558739741237,0.004327597340994496
kde,,-28.022729594012596,0.004318591847737931
kde,,-27.73690044828395,0.004310728216682613
kde,,-27.451071302555306,0.0043043327007995305
kde,,-27.165242156826665,0.00429971973634845
kde,,-26.879413011098023,0.004297190538574562
kde,,-26.59358386536938,0.004297032006018699
kde,,-26.307754719640734,0.004299515957300723
kde,,-26.021925573912092,0.004304898720455521
kde,,-25.736096428183448,0.004313421090748289
kde,,-25.450267282454803,0.004325308668407507
kde,,-25.16443813672616,0.004340772582932404
kde,,-24.87860899099752,0.004360010605602142
kde,,-24.592779845268876,0.004383208646585845
kde,,-24.30695069954023,0.004410542627678408
kde,,-24.02112155381159,0.00444218071622159
kde,,-23.735292408082948,0.004478285900270815
kde,,-23.449463262354303,0.004519018879594633
kde,,-23.16363411662566,0.004564541241706257
kde,,-22.877804970897017,0.004615018886886883
kde,,-22.591975825168372,0.004670625661130381
kde,,-22.306146679439728,0.004731547151180398
kde,,-22.020317533711086,0.004797984591405635
kde,,-21.734488387982445,0.004870158828227206
kde,,-21.4486592422538,0.004948314284232825
kde,,-21.162830096525155,0.005032722861042939
kde,,-20.877000950796514,0.005123687717488303
kde,,-20.591171805067873,0.0052215468577681634
kde,,-20.305342659339228,0.005326676463031107
kde,,-20.019513513610583,0.005439493899299967
kde,,-19.733684367881942,0.005560460334886941
kde,,-19.447855222153297,0.0056900829014485035
kde,,-19.162026076424652,0.005828916334639032
kde,,-18.87619693069601,0.005977564032958356
kde,,-18.59036778496737,0.006136678476864827
kde,,-18.304538639238725,0.006306960954547999
kde,,-18.01870949351008,0.006489160545920722
kde,,-17.73288034778144,0.0066840723223878535
kde,,-17.447051202052794,0.006892534726756384
kde,,-17.161222056324153,0.007115426105238744
kde,,-16.875392910595508,0.007353660371825569
kde,,-16.589563764866867,0.007608181794313773
kde,,-16.303734619138222,0.007879958900907744
kde,,-16.01790547340958,0.008169977516490247
kde,,-15.732076327680936,0.00847923294830135
kde,,-15.446247181952295,0.008808721351769938
kde,,-15.16041803622365,0.00915943031850824
kde,,-14.874588890495005,0.009532328739886308
kde,,-14.588759744766364,0.009928356011025362
kde,,-14.302930599037719,0.010348410651350566
kde,,-14.017101453309078,0.010793338428883432
kde,,-13.731272307580433,0.011263920086082879
kde,,-13.445443161851792,0.011760858775109552
kde,,-13.159614016123147,0.012284767319735143
kde,,-12.873784870394505,0.012836155429590528
kde,,-12.58795572466586,0.0134154169998901
kde,,-12.30212657893722,0.014022817636032818
kde,,-12.016297433208575,0.014658482547420372
kde,,-11.73046828747993,0.015322384958312653
