series,residual
residual_sample,-35.83953581138127
residual_sample,-11.011935448891236
residual_sample,-2.098135267646221
residual_sample,11.160464188618732
residual_sample,13.627994221846976
residual_sample,16.880294252054483
residual_sample,18.932594282261988
residual_sample,-8.839535811381268
residual_sample,-7.209075805339765
residual_sample,-5.263385796277518
residual_sample,-0.6872357811737686
residual_sample,0.46506424903373045
residual_sample,-3.0395358113812705
residual_sample,12.921964339656242
