series,value,grid_x,density
original_sample,50.0,,
original_sample,37.0,,
original_sample,27.0,,
original_sample,97.0,,
original_sample,96.0,,
original_sample,96.1,,
original_sample,95.0,,
original_sample,77.0,,
original_sample,78.0,,
original_sample,79.0,,
original_sample,82.0,,
original_sample,80.0,,
original_sample,82.8,,
original_sample,83.0,,
standard_scaled_sample,-1.1618731616425935,,
standard_scaled_sample,-1.7494278029844992,,
standard_scaled_sample,-2.2013929117090423,,
standard_scaled_sample,0.9623628493627583,,
standard_scaled_sample,0.917166338490304,,
standard_scaled_sample,0.9216859895775492,,
standard_scaled_sample,0.8719698276178497,,
standard_scaled_sample,0.058432631913672484,,
standard_scaled_sample,0.10362914278612677,,
standard_scaled_sample,0.14882565365858105,,
standard_scaled_sample,0.2844151862759439,,
standard_scaled_sample,0.19402216453103535,,
standard_scaled_sample,0.32057239497390727,,
standard_scaled_sample,0.3296116971483982,,
minmax_scaled_sample,0.32857142857142857,,
minmax_scaled_sample,0.14285714285714285,,
minmax_scaled_sample,0.0,,
minmax_scaled_sample,1.0,,
minmax_scaled_sample,0.9857142857142858,,
minmax_scaled_sample,0.9871428571428571,,
minmax_scaled_sample,0.9714285714285714,,
minmax_scaled_sample,0.7142857142857143,,
minmax_scaled_sample,0.7285714285714285,,
minmax_scaled_sample,0.7428571428571429,,
minmax_scaled_sample,0.7857142857142857,,
minmax_scaled_sample,0.7571428571428571,,
minmax_scaled_sample,0.7971428571428572,,
minmax_scaled_sample,0.8,,
scaled::Robust Scale,-2.1016949152542375,,
scaled::Robust Scale,-2.983050847457627,,
scaled::Robust Scale,-3.6610169491525424,,
scaled::Robust Scale,1.0847457627118644,,
scaled::Robust Scale,1.0169491525423728,,
scaled::Robust Scale,1.0237288135593217,,
scaled::Robust Scale,0.9491525423728814,,
scaled::Robust Scale,-0.2711864406779661,,
scaled::Robust Scale,-0.2033898305084746,,
scaled::Robust Scale,-0.13559322033898305,,
scaled::Robust Scale,0.06779661016949153,,
scaled::Robust Scale,-0.06779661016949153,,
scaled::Robust Scale,0.12203389830508456,,
scaled::Robust Scale,0.13559322033898305,,
scaled::Max Abs Scale,0.5154639175257731,,
scaled::Max Abs Scale,0.38144329896907214,,
scaled::Max Abs Scale,0.27835051546391754,,
scaled::Max Abs Scale,1.0,,
scaled::Max Abs Scale,0.9896907216494846,,
scaled::Max Abs Scale,0.990721649484536,,
scaled::Max Abs Scale,0.979381443298969,,
scaled::Max Abs Scale,0.7938144329896907,,
scaled::Max Abs Scale,0.8041237113402062,,
scaled::Max Abs Scale,0.8144329896907216,,
scaled::Max Abs Scale,0.845360824742268,,
scaled::Max Abs Scale,0.8247422680412371,,
scaled::Max Abs Scale,0.8536082474226804,,
scaled::Max Abs Scale,0.8556701030927835,,
scaled::Quantile Normal Scale,-1.0200762327862014,,
scaled::Quantile Normal Scale,-1.4260768722728474,,
scaled::Quantile Normal Scale,-5.199337582605575,,
scaled::Quantile Normal Scale,5.19933758270342,,
scaled::Quantile Normal Scale,1.0200762327862023,,
scaled::Quantile Normal Scale,1.4260768722728474,,
scaled::Quantile Normal Scale,0.7363159173761297,,
scaled::Quantile Normal Scale,-0.7363159173761294,,
scaled::Quantile Normal Scale,-0.5024022233733555,,
scaled::Quantile Normal Scale,-0.29338123212119327,,
scaled::Quantile Normal Scale,0.09655861528963935,,
scaled::Quantile Normal Scale,-0.09655861528963908,,
scaled::Quantile Normal Scale,0.29338123212119344,,
scaled::Quantile Normal Scale,0.5024022233733555,,
scaled::Quantile Uniform Scale,0.15384615384615385,,
scaled::Quantile Uniform Scale,0.07692307692307693,,
scaled::Quantile Uniform Scale,0.0,,
scaled::Quantile Uniform Scale,1.0,,
scaled::Quantile Uniform Scale,0.8461538461538463,,
scaled::Quantile Uniform Scale,0.9230769230769231,,
scaled::Quantile Uniform Scale,0.7692307692307693,,
scaled::Quantile Uniform Scale,0.23076923076923078,,
scaled::Quantile Uniform Scale,0.3076923076923077,,
scaled::Quantile Uniform Scale,0.38461538461538464,,
scaled::Quantile Uniform Scale,0.5384615384615385,,
scaled::Quantile Uniform Scale,0.46153846153846156,,
scaled::Quantile Uniform Scale,0.6153846153846154,,
scaled::Quantile Uniform Scale,0.6923076923076923,,
scaled::Power Yeo Johnson Scale,-1.3806096421392542,,
scaled::Power Yeo Johnson Scale,-1.6860469065933241,,
scaled::Power Yeo Johnson Scale,-1.828243073298258,,
scaled::Power Yeo Johnson Scale,1.2838701080883097,,
scaled::Power Yeo Johnson Scale,1.1964284887371752,,
scaled::Power Yeo Johnson Scale,1.2051048874605066,,
scaled::Power Yeo Johnson Scale,1.1104888544293623,,
scaled::Power Yeo Johnson Scale,-0.19179839290266484,,
scaled::Power Yeo Johnson Scale,-0.13105313989619535,,
scaled::Power Yeo Johnson Scale,-0.06900174690187137,,
scaled::Power Yeo Johnson Scale,0.12510135689245308,,
scaled::Power Yeo Johnson Scale,-0.005632983130646231,,
scaled::Power Yeo Johnson Scale,0.17890301537628098,,
scaled::Power Yeo Johnson Scale,0.19248917387812603,,
original_kde,,27.0,0.0042779904144537185
original_kde,,27.469798657718123,0.004351663268228107
original_kde,,27.93959731543624,0.004422864159872625
original_kde,,28.40939597315436,0.004491478982549261
original_kde,,28.879194630872483,0.004557401705654762
original_kde,,29.348993288590606,0.004620534819995767
original_kde,,29.818791946308725,0.00468078975206403
original_kde,,30.288590604026844,0.004738087247419142
original_kde,,30.758389261744966,0.004792357723560456
original_kde,,31.22818791946309,0.004843541593024869
original_kde,,31.697986577181208,0.004891589557776664
original_kde,,32.16778523489933,0.004936462876253391
original_kde,,32.63758389261745,0.004978133604692783
original_kde,,33.10738255033557,0.005016584814583912
original_kde,,33.57718120805369,0.005051810788257324
original_kde,,34.04697986577181,0.005083817194748957
original_kde,,34.51677852348993,0.005112621248138299
original_kde,,34.986577181208055,0.005138251850569599
original_kde,,35.45637583892618,0.005160749722114068
original_kde,,35.92617449664429,0.005180167519520268
original_kde,,36.395973154362416,0.0051965699457287694
original_kde,,36.86577181208054,0.005210033851796942
original_kde,,37.335570469798654,0.005220648332591961
original_kde,,37.80536912751678,0.005228514817267942
original_kde,,38.2751677852349,0.005233747155149883
original_kde,,38.74496644295302,0.005236471697208115
original_kde,,39.214765100671144,0.005236827372827316
original_kde,,39.68456375838926,0.005234965761060875
original_kde,,40.15436241610738,0.005231051155021424
original_kde,,40.624161073825505,0.005225260617500081
original_kde,,41.09395973154362,0.0052177840253387914
original_kde,,41.56375838926174,0.005208824099511733
original_kde,,42.033557046979865,0.005198596417312302
original_kde,,42.50335570469799,0.005187329402502288
original_kde,,42.97315436241611,0.00517526428876918
original_kde,,43.442953020134226,0.005162655051366704
original_kde,,43.91275167785235,0.005149768301392865
