layer,x,y
smoothed_profile,0.0,62.42797202797209
smoothed_profile,0.0,73.92517482517488
smoothed_profile,0.0,80.79347319347323
smoothed_profile,0.0,84.11655011655017
smoothed_profile,0.2,84.97808857808866
smoothed_profile,0.5,84.4617715617718
smoothed_profile,1.0,83.54219114219136
smoothed_profile,1.1,91.4547785547788
smoothed_profile,2.0,92.49324009324033
smoothed_profile,2.1,93.08974358974355
smoothed_profile,3.1,88.2687645687645
smoothed_profile,5.0,75.9132867132866
smoothed_profile,12.0,53.90629370629354
smoothed_profile,18.0,20.130769230768998
