layer,x,y,y_lo,y_hi
points,0.0,50.0,,
points,12.0,37.0,,
points,18.0,27.0,,
points,0.0,97.0,,
points,1.1,96.0,,
points,2.1,96.1,,
points,3.1,95.0,,
points,0.0,77.0,,
points,0.2,78.0,,
points,0.5,79.0,,
points,1.0,82.0,,
points,2.0,80.0,,
points,0.0,82.8,,
points,5.0,83.0,,
points,10.0,85.0,,
points,20.0,90.7,,
points,40.0,88.0,,
points,50.0,82.0,,
points,100.0,78.0,,
points,0.0,65.0,,
points,0.0,72.0,,
points,0.0,75.0,,
points,0.0,80.0,,
points,0.0,40.0,,
points,0.0,45.0,,
points,0.0,42.0,,
points,0.0,70.0,,
points,0.0,87.0,,
points,0.0,93.0,,
points,0.0,90.0,,
points,0.0,70.0,,
points,0.0,70.0,,
points,0.0,75.0,,
points,0.0,85.0,,
points,0.0,80.0,,
points,0.0,91.0,,
points,0.0,93.0,,
points,0.0,89.0,,
points,0.0,84.1,,
points,0.0,94.4,,
points,0.0,98.5,,
points,0.0,98.4,,
points,0.0,57.0,,
points,0.0,65.0,,
points,0.0,80.0,,
points,0.0,84.0,,
points,0.0,96.0,,
points,0.0,91.0,,
points,0.0,68.0,,
points,0.0,80.0,,
points,0.0,60.0,,
x_iqr_band,0.0,,73.68041958041958,90.0772727272727
x_median,0.0,81.97762237762235,,
x_iqr_band,0.2,,73.36083916083915,80.32587412587412
x_median,0.2,76.88531468531465,,
x_iqr_band,0.5,,76.84871794871792,78.00955710955711
x_median,0.5,77.43613053613049,,
x_iqr_band,1.0,,82.50606060606056,80.76480186480185
x_median,1.0,81.62494172494166,,
x_iqr_band,1.1,,88.69487179487174,86.22808857808855
x_median,1.1,87.44662004661997,,
x_iqr_band,2.0,,93.77715617715643,92.03589743589768
x_median,2.0,92.89603729603755,,
x_iqr_band,2.1,,93.74335664335689,93.74335664335689
x_median,2.1,93.74335664335689,,
x_iqr_band,3.1,,83.00279720279742,83.00279720279742
x_median,3.1,83.00279720279742,,
x_iqr_band,5.0,,74.49696969696988,74.49696969696988
x_median,5.0,74.49696969696988,,
x_iqr_band,10.0,,68.49930069930087,68.49930069930087
x_median,10.0,68.49930069930087,,
x_iqr_band,12.0,,66.79067599067616,66.79067599067616
x_median,12.0,66.79067599067616,,
x_iqr_band,18.0,,63.927738927739,63.927738927739
x_median,18.0,63.927738927739,,
x_iqr_band,20.0,,63.960256410256505,63.960256410256505
x_median,20.0,63.960256410256505,,
x_iqr_band,40.0,,67.83636363636374,67.83636363636374
x_median,40.0,67.83636363636374,,
x_iqr_band,50.0,,76.50419580419593,76.50419580419593
x_median,50.0,76.50419580419593,,
x_iqr_band,100.0,,90.91188811188826,90.91188811188826
x_median,100.0,90.91188811188826,,
linear_trend,0.0,77.5684563500304,,
linear_trend,0.40160642570281124,77.5624075906888,,
linear_trend,0.8032128514056225,77.55635883134721,,
linear_trend,1.2048192771084336,77.55031007200562,,
linear_trend,1.606425702811245,77.54426131266403,,
linear_trend,2.0080321285140563,77.53821255332244,,
linear_trend,2.4096385542168672,77.53216379398084,,
linear_trend,2.8112449799196786,77.52611503463925,,
linear_trend,3.21285140562249,77.52006627529765,,
linear_trend,3.6144578313253013,77.51401751595606,,
linear_trend,4.016064257028113,77.50796875661446,,
linear_trend,4.417670682730924,77.50191999727286,,
linear_trend,4.8192771084337345,77.49587123793128,,
linear_trend,5.220883534136546,77.48982247858969,,
linear_trend,5.622489959839357,77.48377371924809,,
linear_trend,6.024096385542169,77.4777249599065,,
linear_trend,6.42570281124498,77.4716762005649,,
linear_trend,6.827309236947791,77.4656274412233,,
linear_trend,7.228915662650603,77.45957868188171,,
linear_trend,7.6305220883534135,77.45352992254011,,
linear_trend,8.032128514056225,77.44748116319853,,
linear_trend,8.433734939759036,77.44143240385694,,
linear_trend,8.835341365461847,77.43538364451534,,
linear_trend,9.236947791164658,77.42933488517374,,
linear_trend,9.638554216867469,77.42328612583215,,
linear_trend,10.040160642570282,77.41723736649055,,
linear_trend,10.441767068273093,77.41118860714896,,
linear_trend,10.843373493975903,77.40513984780738,,
linear_trend,11.244979919678714,77.39909108846578,,
linear_trend,11.646586345381525,77.39304232912419,,
linear_trend,12.048192771084338,77.38699356978259,,
linear_trend,12.449799196787149,77.380944810441,,
linear_trend,12.85140562248996,77.3748960510994,,
linear_trend,13.25301204819277,77.3688472917578,,
linear_trend,13.654618473895582,77.3627985324162,,
linear_trend,14.056224899598394,77.35674977307463,,
linear_trend,14.457831325301205,77.35070101373303,,
linear_trend,14.859437751004016,77.34465225439143,,
linear_trend,15.261044176706827,77.33860349504984,,
linear_trend,15.662650602409638,77.33255473570824,,
linear_trend,16.06425702811245,77.32650597636665,,
linear_trend,16.46586345381526,77.32045721702505,,
linear_trend,16.867469879518072,77.31440845768346,,
linear_trend,17.269076305220885,77.30835969834187,,
linear_trend,17.670682730923694,77.30231093900028,,
linear_trend,18.072289156626507,77.29626217965868,,
linear_trend,18.473895582329316,77.29021342031709,,
linear_trend,18.87550200803213,77.28416466097549,,
linear_trend,19.277108433734938,77.2781159016339,,
linear_trend,19.67871485943775,77.2720671422923,,
linear_trend,20.080321285140563,77.26601838295072,,
linear_trend,20.481927710843372,77.25996962360912,,
linear_trend,20.883534136546185,77.25392086426753,,
linear_trend,21.285140562248994,77.24787210492593,,
linear_trend,21.686746987951807,77.24182334558434,,
linear_trend,22.08835341365462,77.23577458624274,,
linear_trend,22.48995983935743,77.22972582690115,,
linear_trend,22.89156626506024,77.22367706755955,,
linear_trend,23.29317269076305,77.21762830821797,,
linear_trend,23.694779116465863,77.21157954887637,,
linear_trend,24.096385542168676,77.20553078953478,,
linear_trend,24.497991967871485,77.19948203019318,,
linear_trend,24.899598393574298,77.19343327085159,,
linear_trend,25.301204819277107,77.18738451150999,,
linear_trend,25.70281124497992,77.1813357521684,,
linear_trend,26.104417670682732,77.1752869928268,,
linear_trend,26.50602409638554,77.16923823348522,,
linear_trend,26.907630522088354,77.16318947414362,,
linear_trend,27.309236947791163,77.15714071480203,,
linear_trend,27.710843373493976,77.15109195546043,,
linear_trend,28.11244979919679,77.14504319611883,,
linear_trend,28.514056224899598,77.13899443677724,,
linear_trend,28.91566265060241,77.13294567743564,,
linear_trend,29.31726907630522,77.12689691809405,,
linear_trend,29.718875502008032,77.12084815875247,,
linear_trend,30.120481927710845,77.11479939941087,,
linear_trend,30.522088353413654,77.10875064006927,,
linear_trend,30.923694779116467,77.10270188072768,,
linear_trend,31.325301204819276,77.09665312138608,,
linear_trend,31.72690763052209,77.09060436204449,,
linear_trend,32.1285140562249,77.08455560270289,,
linear_trend,32.53012048192771,77.07850684336131,,
linear_trend,32.93172690763052,77.07245808401971,,
linear_trend,33.333333333333336,77.06640932467812,,
linear_trend,33.734939759036145,77.06036056533652,,
linear_trend,34.136546184738954,77.05431180599493,,
linear_trend,34.53815261044177,77.04826304665333,,
linear_trend,34.93975903614458,77.04221428731174,,
linear_trend,35.34136546184739,77.03616552797014,,
linear_trend,35.7429718875502,77.03011676862856,,
linear_trend,36.144578313253014,77.02406800928696,,
linear_trend,36.54618473895582,77.01801924994537,,
linear_trend,36.94779116465863,77.01197049060377,,
linear_trend,37.34939759036145,77.00592173126218,,
linear_trend,37.75100401606426,76.99987297192058,,
linear_trend,38.15261044176707,76.99382421257899,,
linear_trend,38.554216867469876,76.98777545323739,,
linear_trend,38.95582329317269,76.98172669389581,,
linear_trend,39.3574297188755,76.97567793455421,,
linear_trend,39.75903614457831,76.96962917521262,,
linear_trend,40.16064257028113,76.96358041587102,,
linear_trend,40.562248995983936,76.95753165652943,,
linear_trend,40.963855421686745,76.95148289718783,,
linear_trend,41.36546184738956,76.94543413784623,,
linear_trend,41.76706827309237,76.93938537850465,,
linear_trend,42.16867469879518,76.93333661916306,,
linear_trend,42.57028112449799,76.92728785982146,,
linear_trend,42.971887550200805,76.92123910047987,,
linear_trend,43.373493975903614,76.91519034113827,,
linear_trend,43.77510040160642,76.90914158179667,,
linear_trend,44.17670682730924,76.90309282245508,,
linear_trend,44.57831325301205,76.89704406311348,,
linear_trend,44.97991967871486,76.8909953037719,,
linear_trend,45.381526104417674,76.8849465444303,,
linear_trend,45.78313253012048,76.87889778508871,,
linear_trend,46.18473895582329,76.87284902574712,,
linear_trend,46.5863453815261,76.86680026640552,,
linear_trend,46.98795180722892,76.86075150706392,,
