layer,x,y
residuals,0.0,-27.568456350030402
residuals,12.0,-40.38771942090358
residuals,18.0,-50.29735095634017
residuals,0.0,19.431543649969598
residuals,1.1,18.448111201806228
residuals,2.1,18.563172612566788
residuals,3.1,17.47823402332736
residuals,0.0,-0.5684563500304023
residuals,0.2,0.43455593212171095
residuals,0.5,1.439074355349888
residuals,1.0,4.446605060730164
residuals,2.0,2.46166647149073
residuals,0.0,5.231543649969595
residuals,5.0,5.506850703772443
residuals,10.0,7.582157757575288
residuals,20.0,13.432771865180968
residuals,40.0,11.034000080392346
residuals,50.0,5.184614187998022
residuals,100.0,1.9376847260264611
residuals,0.0,-12.568456350030402
residuals,0.0,-5.568456350030402
residuals,0.0,-2.5684563500304023
residuals,0.0,2.4315436499695977
residuals,0.0,-37.5684563500304
residuals,0.0,-32.5684563500304
residuals,0.0,-35.5684563500304
residuals,0.0,-7.568456350030402
residuals,0.0,9.431543649969598
residuals,0.0,15.431543649969598
residuals,0.0,12.431543649969598
residuals,0.0,-7.568456350030402
residuals,0.0,-7.568456350030402
residuals,0.0,-2.5684563500304023
residuals,0.0,7.431543649969598
residuals,0.0,2.4315436499695977
residuals,0.0,13.431543649969598
residuals,0.0,15.431543649969598
residuals,0.0,11.431543649969598
residuals,0.0,6.531543649969592
residuals,0.0,16.831543649969603
residuals,0.0,20.931543649969598
residuals,0.0,20.831543649969603
residuals,0.0,-20.568456350030402
residuals,0.0,-12.568456350030402
residuals,0.0,2.4315436499695977
residuals,0.0,6.431543649969598
residuals,0.0,18.431543649969598
residuals,0.0,13.431543649969598
residuals,0.0,-9.568456350030402
residuals,0.0,2.4315436499695977
residuals,0.0,-17.568456350030402
