Thickness,Rct Initial,Coulombic Efficiency,Reversible Capacity,Capacity Retention
0.0,40.0,68.0,285.0,50.0
12.0,121.0,64.0,270.0,37.0
18.0,150.0,58.0,260.0,27.0
0.0,9.7,73.0,277.0,97.0
1.1,8.2,75.0,286.0,96.0
2.1,7.6,79.0,296.0,96.1
3.1,10.9,74.0,269.0,95.0
0.0,66.58,77.2,293.0,77.0
0.2,37.5,50.2,187.8,78.0
0.5,36.5,32.7,123.4,79.0
1.0,35.0,82.4,297.3,82.0
2.0,37.2,71.2,258.0,80.0
0.0,25.82,66.8,260.9,82.8
5.0,23.0,72.6,318.1,83.0
