series,residual
residual_sample,18.31390151870799
residual_sample,17.875335848864808
residual_sample,6.156053013943222
residual_sample,-11.98609848129201
residual_sample,-20.95130033436097
residual_sample,-28.337847473514564
residual_sample,-31.824394612668165
residual_sample,44.89390151870799
residual_sample,14.456592090877269
residual_sample,11.420627949131188
residual_sample,6.527354379554389
residual_sample,1.9408072404007939
residual_sample,4.13390151870799
residual_sample,-32.61883417706001
