series,predicted,residual
point,28.401013406233194,11.598986593766806
point,112.83218705984785,8.167812940152146
point,155.0477738866552,-5.047773886655193
point,28.401013406233194,-18.701013406233194
point,36.14053765781454,-27.94053765781454
point,43.17646879561576,-35.57646879561576
point,50.21239993341698,-39.312399933416984
point,28.401013406233194,38.17898659376681
point,29.80819963379344,7.691800366206561
point,31.918978975133808,4.5810210248661924
point,35.43694454403442,-0.43694454403441796
point,42.47287568183564,-5.272875681835636
point,28.401013406233194,-2.5810134062331933
point,63.58066909523931,-40.58066909523931
