series,predicted,residual
point,276.3653860047796,8.634613995220377
point,270.0000037580214,-3.7580214211629936e-06
point,260.00000377299205,-3.772992045014689e-06
point,276.3653860047796,0.6346139952203771
point,286.0093618135391,-0.00936181353910115
point,295.9999948692033,5.130796694174933e-06
point,269.0000010173739,-1.0173739042329544e-06
point,276.3653860047796,16.634613995220377
point,187.88227817564766,-0.0822781756476445
point,123.39497834097817,0.0050216590218354895
point,297.2696365230913,0.03036347690868979
point,257.9999948845431,5.115456872317736e-06
point,276.3653860047796,-15.465386004779646
point,318.09994381115246,5.61888475658634e-05
