series,predicted,residual
point,21.6859489296313,18.3140510703687
point,103.12507292567446,17.87492707432554
point,143.84463492369605,6.155365076303951
point,21.6859489296313,-11.985948929631302
point,29.151201962601924,-20.951201962601925
point,35.93779562893886,-28.337795628938856
point,42.724389295275785,-31.824389295275786
point,21.6859489296313,44.8940510703687
point,23.04326766289869,14.456732337101311
point,25.07924576279977,11.420754237200232
point,28.472542595968232,6.527457404031768
point,35.25913626230516,1.9408637376948406
point,21.6859489296313,4.134051070368699
point,55.61891726131596,-32.61891726131596
