series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,7.6,21.660540471867044,7.160559440559443,21.80804891713905,7.160559440559443,21.80804891713905
sorted_curves,1.0,8.2,21.660540471867044,7.570349650349641,21.345855788620117,7.570349650349641,21.345855788620117
sorted_curves,2.0,9.7,21.660540471867044,10.32955710955709,21.455667631211494,10.32955710955709,21.455667631211494
sorted_curves,3.0,10.9,21.660540471867044,14.778974358974331,22.136664953550554,14.778974358974331,22.136664953550554
sorted_curves,4.0,23.0,23.066787650126763,20.25939393939391,23.388028264274677,20.25939393939391,23.388028264274677
sorted_curves,5.0,25.82,25.17615841751634,26.11160839160846,25.208938072021297,25.208938072021297,26.11160839160846
sorted_curves,6.0,35.0,28.691776363165637,28.87762237762245,26.831530970013283,26.831530970013283,28.87762237762245
sorted_curves,7.0,36.5,29.394899952295496,29.01282051282059,26.372615806944843,26.372615806944843,29.01282051282059
sorted_curves,8.0,37.2,35.72301225446424,33.26573426573435,28.765530585801713,28.765530585801713,33.26573426573435
sorted_curves,9.0,37.5,36.426135843594096,37.98974358974381,33.83162618953228,33.83162618953228,37.98974358974381
sorted_curves,10.0,40.0,43.45737173489269,49.652540792541046,45.752767041597615,45.752767041597615,49.652540792541046
sorted_curves,11.0,66.58,56.816719928360016,71.23696969696998,67.05216704751159,67.05216704751159,71.23696969696998
sorted_curves,12.0,121.0,106.03537116745018,105.72587412587447,100.25304011278799,100.25304011278799,105.72587412587447
sorted_curves,13.0,150.0,148.22278651524175,156.10209790209828,147.8786001429405,147.8786001429405,156.10209790209828
