series,predicted,residual
point,78.04463929852533,-28.044639298525325
point,139.45077720207252,-102.45077720207252
point,170.15384615384613,-143.15384615384613
point,78.04463929852533,18.955360701474675
point,83.67353527301715,12.326464726982849
point,88.79071343164608,7.309286568353912
point,93.90789159027503,1.0921084097249718
point,78.04463929852533,-1.0446392985253254
point,79.06807493025111,-1.0680749302511146
point,80.6032283778398,-1.6032283778397982
point,83.16181745715426,-1.1618174571542568
point,88.27899561578319,-8.278995615783188
point,78.04463929852533,4.755360701474672
point,103.63053009167,-20.630530091669996
