layer,x,y_lo,y_hi,y
quantile_band_10_90,0.0,39.083566433566546,238.41398601398575,
median,0.0,,,100.52237762237756
quantile_band_10_90,0.2,45.96783216783228,130.6391608391606,
median,0.2,,,72.06573426573425
quantile_band_10_90,0.5,42.9820512820514,57.093939393939166,
median,0.5,,,47.33170163170165
quantile_band_10_90,1.0,33.787296037296166,12.619463869463601,
median,1.0,,,27.26282051282054
quantile_band_10_90,1.1,22.044638694638834,-7.943123543123846,
median,1.1,,,12.801631701631734
quantile_band_10_90,2.0,11.415151515151539,-9.752680652680684,
median,2.0,,,4.890675990675999
quantile_band_10_90,2.1,9.582983682983702,9.582983682983702,
median,2.1,,,9.582983682983702
quantile_band_10_90,3.1,30.589930069930148,30.589930069930148,
median,3.1,,,30.589930069930148
quantile_band_10_90,5.0,47.32163170163182,47.32163170163182,
median,5.0,,,47.32163170163182
quantile_band_10_90,10.0,59.971282051282216,59.971282051282216,
median,10.0,,,59.971282051282216
quantile_band_10_90,12.0,63.93794871794889,63.93794871794889,
median,12.0,,,63.93794871794889
quantile_band_10_90,18.0,70.52312354312348,70.52312354312348,
median,18.0,,,70.52312354312348
quantile_band_10_90,20.0,70.20864801864793,70.20864801864793,
median,20.0,,,70.20864801864793
quantile_band_10_90,40.0,60.42755244755233,60.42755244755233,
median,40.0,,,60.42755244755233
quantile_band_10_90,50.0,38.61286713286695,38.61286713286695,
median,50.0,,,38.61286713286695
quantile_band_10_90,100.0,2.1976223776221726,2.1976223776221726,
median,100.0,,,2.1976223776221726
