series,predicted,residual
point,85.83946343766284,-35.83946343766284
point,48.01213327038829,-11.01213327038829
point,29.098468186751006,-2.098468186751006
point,85.83946343766284,11.160536562337157
point,82.37195817232934,13.628041827670657
point,79.21968065838979,16.880319341610203
point,76.06740314445025,18.932596855549747
point,85.83946343766284,-8.839463437662843
point,85.20900793487493,-7.209007934874933
point,84.26332468069307,-5.263324680693074
point,82.68718592372329,-0.6871859237232911
point,79.53490840978375,0.4650915902162467
point,85.83946343766284,-3.039463437662846
point,70.07807586796511,12.921924132034889
