series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-35.26573872153362,,
empirical_quantile,2,-1.2418667918433202,-12.580314161141487,,
empirical_quantile,3,-0.9208229763683788,-8.265738721533623,,
empirical_quantile,4,-0.6744897501960817,-6.6709816455270925,,
empirical_quantile,5,-0.463707751457179,-4.778846031517276,,
empirical_quantile,6,-0.2718800053992609,-4.7376018809454195,,
empirical_quantile,7,-0.08964235107576254,-2.4657387215336257,,
empirical_quantile,8,0.08964235107576254,-0.29195334150094254,,
empirical_quantile,9,0.27188000539926077,0.6818320385317378,,
empirical_quantile,10,0.4637077514571792,11.734261278466377,,
empirical_quantile,11,0.6744897501960817,12.603188178629765,,
empirical_quantile,12,0.9208229763683788,14.00542519650233,,
empirical_quantile,13,1.2418667918433206,17.079210576535004,,
empirical_quantile,14,1.8027430907391908,18.952995956567676,,
normal_reference,1,,,-1.8027430907391904,-25.01767112042731
normal_reference,2,,,-1.2418667918433202,-17.234077963364758
normal_reference,3,,,-0.9208229763683788,-12.778773914740773
normal_reference,4,,,-0.6744897501960817,-9.36027037418057
normal_reference,5,,,-0.463707751457179,-6.435131040880475
normal_reference,6,,,-0.2718800053992609,-3.77303044135354
normal_reference,7,,,-0.08964235107576254,-1.2440168924767696
normal_reference,8,,,0.08964235107576254,1.2440168924767416
normal_reference,9,,,0.27188000539926077,3.77303044135351
normal_reference,10,,,0.4637077514571792,6.435131040880449
normal_reference,11,,,0.6744897501960817,9.360270374180542
normal_reference,12,,,0.9208229763683788,12.778773914740745
normal_reference,13,,,1.2418667918433206,17.234077963364733
normal_reference,14,,,1.8027430907391908,25.017671120427288
quantile_band_lower,1,,,-1.8027430907391904,-37.22223622938898
quantile_band_upper,1,,,-1.8027430907391904,-12.048812535117294
quantile_band_lower,2,,,-1.2418667918433202,-26.96610395189116
quantile_band_upper,2,,,-1.2418667918433202,-7.408069619563145
quantile_band_lower,3,,,-0.9208229763683788,-21.448885659319785
quantile_band_upper,3,,,-0.9208229763683788,-4.043304191365639
quantile_band_lower,4,,,-0.6744897501960817,-17.469375492722772
quantile_band_upper,4,,,-0.6744897501960817,-1.196144322909565
quantile_band_lower,5,,,-0.463707751457179,-14.222377440407138
quantile_band_upper,5,,,-0.463707751457179,1.3939651638566832
quantile_band_lower,6,,,-0.2718800053992609,-11.381287633689999
quantile_band_upper,6,,,-0.2718800053992609,3.8612626344026904
quantile_band_lower,7,,,-0.08964235107576254,-8.775226104901302
quantile_band_upper,7,,,-0.08964235107576254,6.296012769293013
quantile_band_lower,8,,,0.08964235107576254,-6.296012769293044
quantile_band_upper,8,,,0.08964235107576254,8.775226104901279
quantile_band_lower,9,,,0.27188000539926077,-3.8612626344027188
quantile_band_upper,9,,,0.27188000539926077,11.38128763368997
quantile_band_lower,10,,,0.4637077514571792,-1.393965163856715
quantile_band_upper,10,,,0.4637077514571792,14.222377440407103
quantile_band_lower,11,,,0.6744897501960817,1.1961443229095292
quantile_band_upper,11,,,0.6744897501960817,17.469375492722744
quantile_band_lower,12,,,0.9208229763683788,4.043304191365607
quantile_band_upper,12,,,0.9208229763683788,21.448885659319757
quantile_band_lower,13,,,1.2418667918433206,7.408069619563119
quantile_band_upper,13,,,1.2418667918433206,26.96610395189113
quantile_band_lower,14,,,1.8027430907391908,12.04881253511726
quantile_band_upper,14,,,1.8027430907391908,37.22223622938895
