series,predicted,residual
point,76.28566664100762,-26.285666641007623
point,74.78075817975032,-37.78075817975032
point,69.97556068456728,-42.975560684567284
point,76.28566664100762,20.714333358992377
point,76.25649236123803,19.74350763876197
point,76.24592116062108,19.854078839378914
point,76.2401028138122,18.7598971861878
point,76.28566664100762,0.714333358992377
point,76.27841921038912,1.7215807896108828
point,76.26931877048436,2.730681229515639
point,76.2581998048057,5.741800195194301
point,76.24659772374146,3.753402276258541
point,76.28566664100762,6.514333358992374
point,76.2059627265602,6.794037273439798
