series,value,density
actual_kde,123.4,0.0010535963026033384
actual_kde,124.378391959799,0.001059752676131281
actual_kde,125.356783919598,0.0010652394727038723
actual_kde,126.33517587939699,0.0010700739737685714
actual_kde,127.31356783919598,0.0010742764445712185
actual_kde,128.29195979899498,0.001077870007104004
actual_kde,129.27035175879396,0.0010808804925280758
actual_kde,130.24874371859298,0.0010833362740235513
actual_kde,131.22713567839196,0.001085268081204744
actual_kde,132.20552763819097,0.0010867087974166683
actual_kde,133.18391959798996,0.0010876932413985821
actual_kde,134.16231155778894,0.0010882579349597817
actual_kde,135.14070351758795,0.0010884408584604047
actual_kde,136.11909547738694,0.0010882811960241567
actual_kde,137.09748743718595,0.0010878190725291874
actual_kde,138.07587939698493,0.0010870952845265156
actual_kde,139.05427135678391,0.0010861510273213275
actual_kde,140.03266331658293,0.001085027620520104
actual_kde,141.0110552763819,0.00108376623439505
actual_kde,141.98944723618092,0.0010824076194460768
actual_kde,142.9678391959799,0.0010809918415490625
actual_kde,143.9462311557789,0.001079558025067076
actual_kde,144.9246231155779,0.0010781441062685166
actual_kde,145.90301507537689,0.001076786599342802
actual_kde,146.8814070351759,0.0010755203772305896
actual_kde,147.85979899497488,0.001074378469391971
actual_kde,148.8381909547739,0.0010733918785233048
actual_kde,149.81658291457288,0.0010725894181021001
actual_kde,150.79497487437186,0.0010719975724906544
actual_kde,151.77336683417087,0.0010716403811640528
actual_kde,152.75175879396986,0.0010715393484480177
actual_kde,153.73015075376884,0.0010717133799582241
actual_kde,154.70854271356785,0.0010721787467267568
actual_kde,155.68693467336684,0.0010729490777848891
actual_kde,156.66532663316585,0.0010740353817460969
actual_kde,157.64371859296483,0.0010754460977009611
actual_kde,158.62211055276384,0.0010771871754982505
actual_kde,159.60050251256283,0.0010792621852458424
actual_kde,160.5788944723618,0.0010816724556232636
actual_kde,161.55728643216082,0.0010844172403563193
actual_kde,162.5356783919598,0.001087493911965579
actual_kde,163.5140703517588,0.001090898181666186
actual_kde,164.4924623115578,0.001094624344068487
actual_kde,165.47085427135679,0.0010986655451090909
actual_kde,166.4492462311558,0.0011030140714319047
