series,residual
residual_sample,32.95555555555555
residual_sample,5.7999999999999545
residual_sample,-4.2000000000000455
residual_sample,24.95555555555555
residual_sample,30.055555555555543
residual_sample,41.83333333333334
residual_sample,10.266666666666652
residual_sample,40.95555555555555
residual_sample,-64.24444444444444
residual_sample,-128.64444444444445
residual_sample,45.25555555555556
residual_sample,3.833333333333343
residual_sample,8.855555555555526
residual_sample,59.366666666666674
