series,actual,predicted
point,68.0,64.40613237381847
point,64.0,63.513719896117735
point,58.0,58.09122640609838
point,73.0,64.40613237381847
point,75.0,69.28170380258193
point,79.0,72.39383146866705
point,74.0,74.38339565030273
point,77.2,64.40613237381847
point,50.2,65.41319536707647
point,32.7,66.82133716495166
point,82.4,68.90372842589223
point,71.2,72.13528618104583
point,66.8,64.40613237381847
point,72.6,75.53804614199224
parity_reference,32.7,32.7
parity_reference,32.949748743718594,32.949748743718594
parity_reference,33.19949748743719,33.19949748743719
parity_reference,33.44924623115578,33.44924623115578
parity_reference,33.698994974874374,33.698994974874374
parity_reference,33.948743718592965,33.948743718592965
parity_reference,34.19849246231156,34.19849246231156
parity_reference,34.448241206030154,34.448241206030154
parity_reference,34.697989949748745,34.697989949748745
parity_reference,34.94773869346734,34.94773869346734
parity_reference,35.197487437185934,35.197487437185934
parity_reference,35.447236180904525,35.447236180904525
parity_reference,35.696984924623116,35.696984924623116
parity_reference,35.946733668341714,35.946733668341714
parity_reference,36.196482412060305,36.196482412060305
parity_reference,36.4462311557789,36.4462311557789
parity_reference,36.69597989949749,36.69597989949749
parity_reference,36.945728643216086,36.945728643216086
parity_reference,37.19547738693468,37.19547738693468
parity_reference,37.44522613065327,37.44522613065327
parity_reference,37.694974874371866,37.694974874371866
parity_reference,37.94472361809046,37.94472361809046
parity_reference,38.19447236180905,38.19447236180905
parity_reference,38.44422110552764,38.44422110552764
parity_reference,38.69396984924624,38.69396984924624
parity_reference,38.94371859296483,38.94371859296483
parity_reference,39.19346733668342,39.19346733668342
parity_reference,39.44321608040201,39.44321608040201
parity_reference,39.69296482412061,39.69296482412061
parity_reference,39.9427135678392,39.9427135678392
parity_reference,40.19246231155779,40.19246231155779
parity_reference,40.44221105527639,40.44221105527639
parity_reference,40.69195979899498,40.69195979899498
parity_reference,40.94170854271357,40.94170854271357
parity_reference,41.19145728643217,41.19145728643217
parity_reference,41.44120603015076,41.44120603015076
parity_reference,41.69095477386935,41.69095477386935
parity_reference,41.94070351758794,41.94070351758794
parity_reference,42.19045226130653,42.19045226130653
parity_reference,42.44020100502513,42.44020100502513
parity_reference,42.68994974874372,42.68994974874372
parity_reference,42.93969849246231,42.93969849246231
parity_reference,43.18944723618091,43.18944723618091
parity_reference,43.4391959798995,43.4391959798995
parity_reference,43.68894472361809,43.68894472361809
parity_reference,43.93869346733669,43.93869346733669
parity_reference,44.18844221105528,44.18844221105528
parity_reference,44.43819095477387,44.43819095477387
parity_reference,44.687939698492464,44.687939698492464
parity_reference,44.937688442211055,44.937688442211055
parity_reference,45.18743718592965,45.18743718592965
parity_reference,45.437185929648244,45.437185929648244
parity_reference,45.686934673366835,45.686934673366835
parity_reference,45.93668341708543,45.93668341708543
parity_reference,46.186432160804024,46.186432160804024
parity_reference,46.436180904522615,46.436180904522615
parity_reference,46.68592964824121,46.68592964824121
parity_reference,46.935678391959804,46.935678391959804
parity_reference,47.185427135678395,47.185427135678395
parity_reference,47.435175879396986,47.435175879396986
parity_reference,47.684924623115585,47.684924623115585
parity_reference,47.934673366834176,47.934673366834176
parity_reference,48.18442211055277,48.18442211055277
parity_reference,48.43417085427136,48.43417085427136
parity_reference,48.683919597989956,48.683919597989956
parity_reference,48.93366834170855,48.93366834170855
parity_reference,49.18341708542714,49.18341708542714
parity_reference,49.433165829145736,49.433165829145736
parity_reference,49.68291457286433,49.68291457286433
parity_reference,49.93266331658292,49.93266331658292
parity_reference,50.182412060301516,50.182412060301516
parity_reference,50.4321608040201,50.4321608040201
parity_reference,50.6819095477387,50.6819095477387
parity_reference,50.93165829145729,50.93165829145729
parity_reference,51.18140703517588,51.18140703517588
parity_reference,51.43115577889448,51.43115577889448
parity_reference,51.68090452261307,51.68090452261307
parity_reference,51.93065326633166,51.93065326633166
parity_reference,52.18040201005026,52.18040201005026
parity_reference,52.43015075376885,52.43015075376885
parity_reference,52.67989949748744,52.67989949748744
parity_reference,52.92964824120604,52.92964824120604
parity_reference,53.17939698492462,53.17939698492462
parity_reference,53.42914572864322,53.42914572864322
parity_reference,53.67889447236182,53.67889447236182
parity_reference,53.9286432160804,53.9286432160804
parity_reference,54.178391959799,54.178391959799
parity_reference,54.42814070351759,54.42814070351759
parity_reference,54.67788944723618,54.67788944723618
parity_reference,54.92763819095478,54.92763819095478
parity_reference,55.17738693467337,55.17738693467337
parity_reference,55.42713567839196,55.42713567839196
parity_reference,55.67688442211056,55.67688442211056
parity_reference,55.92663316582915,55.92663316582915
parity_reference,56.17638190954774,56.17638190954774
parity_reference,56.42613065326634,56.42613065326634
parity_reference,56.675879396984925,56.675879396984925
parity_reference,56.92562814070352,56.92562814070352
parity_reference,57.175376884422114,57.175376884422114
parity_reference,57.425125628140705,57.425125628140705
parity_reference,57.6748743718593,57.6748743718593
parity_reference,57.924623115577894,57.924623115577894
parity_reference,58.174371859296485,58.174371859296485
parity_reference,58.42412060301508,58.42412060301508
parity_reference,58.673869346733674,58.673869346733674
parity_reference,58.923618090452266,58.923618090452266
parity_reference,59.173366834170864,59.173366834170864
