series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-44.972493205549995,,
empirical_quantile,2,-1.2418667918433202,-27.816607066228002,,
empirical_quantile,3,-0.9208229763683788,-11.446016306680022,,
empirical_quantile,4,-0.6744897501960817,-10.24601630668002,,
empirical_quantile,5,-0.463707751457179,-5.246016306680019,,
empirical_quantile,6,-0.2718800053992609,-4.751923902159916,,
empirical_quantile,7,-0.08964235107576254,-1.984265484193969,,
empirical_quantile,8,0.08964235107576254,-1.0460163066800163,,
empirical_quantile,9,0.27188000539926077,-0.690173079673869,,
empirical_quantile,10,0.4637077514571792,-0.48146187955943276,,
empirical_quantile,11,0.6744897501960817,0.0892147046202183,,
empirical_quantile,12,0.9208229763683788,0.40081533400086755,,
empirical_quantile,13,1.2418667918433206,3.162780718066088,,
empirical_quantile,14,1.8027430907391908,5.301029895580044,,
normal_reference,1,,,-1.8027430907391904,-28.329486605758596
normal_reference,2,,,-1.2418667918433202,-21.731758126782257
normal_reference,3,,,-0.9208229763683788,-17.955239260629398
normal_reference,4,,,-0.6744897501960817,-15.05755978150985
normal_reference,5,,,-0.463707751457179,-12.578078301060629
normal_reference,6,,,-0.2718800053992609,-10.321560445491306
normal_reference,7,,,-0.08964235107576254,-8.177853242603751
normal_reference,8,,,0.08964235107576254,-6.068882356227405
normal_reference,9,,,0.27188000539926077,-3.925175153339852
normal_reference,10,,,0.4637077514571792,-1.668657297770526
normal_reference,11,,,0.6744897501960817,0.8108241826786937
normal_reference,12,,,0.9208229763683788,3.7085036617982405
normal_reference,13,,,1.2418667918433206,7.485022527951107
normal_reference,14,,,1.8027430907391908,14.082751006927442
quantile_band_lower,1,,,-1.8027430907391904,-38.67463250021663
quantile_band_upper,1,,,-1.8027430907391904,-17.336490710221835
quantile_band_lower,2,,,-1.2418667918433202,-29.98106711904084
quantile_band_upper,2,,,-1.2418667918433202,-13.402785404751533
quantile_band_lower,3,,,-0.9208229763683788,-25.304421318174658
quantile_band_upper,3,,,-0.9208229763683788,-10.550656800040176
quantile_band_lower,4,,,-0.6744897501960817,-21.931207041846573
quantile_band_upper,4,,,-0.6744897501960817,-8.137274269728128
quantile_band_lower,5,,,-0.463707751457179,-19.178903434931392
quantile_band_upper,5,,,-0.463707751457179,-5.941779364011138
quantile_band_lower,6,,,-0.2718800053992609,-16.770666165734102
quantile_band_upper,6,,,-0.2718800053992609,-3.8503855232684354
quantile_band_lower,7,,,-0.08964235107576254,-14.561649581811997
quantile_band_upper,7,,,-0.08964235107576254,-1.7865802883324822
quantile_band_lower,8,,,0.08964235107576254,-12.460155310498676
quantile_band_upper,8,,,0.08964235107576254,0.31491398298084583
quantile_band_lower,9,,,0.27188000539926077,-10.39635007556272
quantile_band_upper,9,,,0.27188000539926077,2.523930566902947
quantile_band_lower,10,,,0.4637077514571792,-8.304956234820022
quantile_band_upper,10,,,0.4637077514571792,4.9321678361002315
quantile_band_lower,11,,,0.6744897501960817,-6.109461329103034
quantile_band_upper,11,,,0.6744897501960817,7.684471443015416
quantile_band_lower,12,,,0.9208229763683788,-3.696078798790984
quantile_band_upper,12,,,0.9208229763683788,11.0576857193435
quantile_band_lower,13,,,1.2418667918433206,-0.8439501940796204
quantile_band_upper,13,,,1.2418667918433206,15.734331520209683
quantile_band_lower,14,,,1.8027430907391908,3.089755111390674
quantile_band_upper,14,,,1.8027430907391908,24.42789690138547
