series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,7.6,21.6859489296313,7.160559440559443,21.82832502053347,7.160559440559443,21.82832502053347
sorted_curves,1.0,8.2,21.6859489296313,7.570349650349641,21.382213269039994,7.570349650349641,21.382213269039994
sorted_curves,2.0,9.7,21.6859489296313,10.32955710955709,21.488204358933835,10.32955710955709,21.488204358933835
sorted_curves,3.0,10.9,21.6859489296313,14.778974358974331,22.145507311932207,14.778974358974331,22.145507311932207
sorted_curves,4.0,23.0,23.04326766289869,20.25939393939391,23.35333114975231,20.25939393939391,23.35333114975231
sorted_curves,5.0,25.82,25.07924576279977,26.11160839160846,25.110884894111425,25.110884894111425,26.11160839160846
sorted_curves,6.0,35.0,28.472542595968232,28.87762237762245,26.677021894035335,26.677021894035335,28.87762237762245
sorted_curves,7.0,36.5,29.151201962601924,29.01282051282059,26.23407405567302,26.23407405567302,29.01282051282059
sorted_curves,8.0,37.2,35.25913626230516,33.26573426573435,28.543730641419394,28.543730641419394,33.26573426573435
sorted_curves,9.0,37.5,35.93779562893886,37.98974358974381,33.433558385626334,33.433558385626334,37.98974358974381
sorted_curves,10.0,40.0,42.724389295275785,49.652540792541046,44.93991946537034,44.93991946537034,49.652540792541046
sorted_curves,11.0,66.58,55.61891726131596,71.23696969696998,65.4982360133614,65.4982360133614,71.23696969696998
sorted_curves,12.0,121.0,103.12507292567446,105.72587412587447,97.54393016230951,97.54393016230951,105.72587412587447
sorted_curves,13.0,150.0,143.84463492369605,156.10209790209828,143.51242404492456,143.51242404492456,156.10209790209828
