series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-30.56159704678285,,
empirical_quantile,2,-1.2418667918433202,-3.5615970467828504,,
empirical_quantile,3,-0.9208229763683788,-0.010450217652177685,,
empirical_quantile,4,-0.6744897501960817,-0.0032425245996847707,,
empirical_quantile,5,-0.463707751457179,-0.00065736168360786,,
empirical_quantile,6,-0.2718800053992609,-0.0003982014891903418,,
empirical_quantile,7,-0.08964235107576254,-0.0003981895444269412,,
empirical_quantile,8,0.08964235107576254,0.0017614828537588778,,
empirical_quantile,9,0.27188000539926077,0.0017614842570949918,,
empirical_quantile,10,0.4637077514571792,0.003946611500012409,,
empirical_quantile,11,0.6744897501960817,0.015649897053492623,,
empirical_quantile,12,0.9208229763683788,0.2941536821805215,,
empirical_quantile,13,1.2418667918433206,2.2384029532171468,,
empirical_quantile,14,1.8027430907391908,16.43840295321715,,
normal_reference,1,,,-1.8027430907391904,-14.08741160274828
normal_reference,2,,,-1.2418667918433202,-10.041035313264247
normal_reference,3,,,-0.9208229763683788,-7.724902352430279
normal_reference,4,,,-0.6744897501960817,-5.947760177483885
normal_reference,5,,,-0.463707751457179,-4.4270981640842155
normal_reference,6,,,-0.2718800053992609,-3.0431793840574075
normal_reference,7,,,-0.08964235107576254,-1.7284471963050887
normal_reference,8,,,0.08964235107576254,-0.4350187357314277
normal_reference,9,,,0.27188000539926077,0.8797134520208905
normal_reference,10,,,0.4637077514571792,2.2636322320477005
normal_reference,11,,,0.6744897501960817,3.784294245447369
normal_reference,12,,,0.9208229763683788,5.561436420393763
normal_reference,13,,,1.2418667918433206,7.877569381227735
normal_reference,14,,,1.8027430907391908,11.923945670711767
quantile_band_lower,1,,,-1.8027430907391904,-20.432072980065655
quantile_band_upper,1,,,-1.8027430907391904,-7.345424859305217
quantile_band_lower,2,,,-1.2418667918433202,-15.100323281428944
quantile_band_upper,2,,,-1.2418667918433202,-4.932889707458199
quantile_band_lower,3,,,-0.9208229763683788,-12.232143915873113
quantile_band_upper,3,,,-0.9208229763683788,-3.183683810695711
quantile_band_lower,4,,,-0.6744897501960817,-10.16335701283876
quantile_band_upper,4,,,-0.6744897501960817,-1.703560177353225
quantile_band_lower,5,,,-0.463707751457179,-8.475373627046128
quantile_band_upper,5,,,-0.463707751457179,-0.35706667455382457
quantile_band_lower,6,,,-0.2718800053992609,-6.998405574089269
quantile_band_upper,6,,,-0.2718800053992609,0.9255818121367365
quantile_band_lower,7,,,-0.08964235107576254,-5.6436192477434695
quantile_band_upper,7,,,-0.08964235107576254,2.1913102511545155
quantile_band_lower,8,,,0.08964235107576254,-4.354776183191033
quantile_band_upper,8,,,0.08964235107576254,3.480153315706956
quantile_band_lower,9,,,0.27188000539926077,-3.0890477441732527
quantile_band_upper,9,,,0.27188000539926077,4.8349396420527535
quantile_band_lower,10,,,0.4637077514571792,-1.8063992574826937
quantile_band_upper,10,,,0.4637077514571792,6.311907695009609
quantile_band_lower,11,,,0.6744897501960817,-0.4599057546832953
quantile_band_upper,11,,,0.6744897501960817,7.999891080802245
quantile_band_lower,12,,,0.9208229763683788,1.0202178786591924
quantile_band_upper,12,,,0.9208229763683788,10.068677983836597
quantile_band_lower,13,,,1.2418667918433206,2.769423775421685
quantile_band_upper,13,,,1.2418667918433206,12.936857349392428
quantile_band_lower,14,,,1.8027430907391908,5.181958927268697
quantile_band_upper,14,,,1.8027430907391908,18.268607048029136
