series,residual,kde_x,kde_density
residual_sample,6.659887293157169,,
residual_sample,-3.2782561058864985,,
residual_sample,-10.747327805408304,,
residual_sample,-1.340112706842831,,
residual_sample,8.123890814911533,,
residual_sample,18.545712198324566,,
residual_sample,-8.032466418262402,,
residual_sample,14.659887293157169,,
residual_sample,-90.45574843016021,,
residual_sample,-154.72920201513628,,
residual_sample,19.381708676570213,,
residual_sample,-19.496469940016766,,
residual_sample,-17.440112706842854,,
residual_sample,41.868994210222354,,
kde,,-154.72920201513628,0.0010509338430859491
kde,,-153.741271380838,0.0010572648706927159
kde,,-152.75334074653972,0.0010629302827956314
kde,,-151.76541011224143,0.0010679472180076378
kde,,-150.77747947794313,0.0010723357811978087
kde,,-149.78954884364487,0.0010761189121206122
kde,,-148.80161820934657,0.0010793222332648488
kde,,-147.81368757504828,0.0010819738779188595
kde,,-146.82575694075,0.0010841042996381322
kde,,-145.83782630645172,0.0010857460644837034
kde,,-144.84989567215342,0.0010869336275729164
kde,,-143.86196503785516,0.001087703095646407
kde,,-142.87403440355686,0.0010880919775049247
kde,,-141.88610376925857,0.001088138924305235
kde,,-140.8981731349603,0.0010878834618243936
kde,,-139.910242500662,0.0010873657169048303
kde,,-138.9223118663637,0.001086626140377779
kde,,-137.93438123206545,0.0010857052288286105
kde,,-136.94645059776715,0.0010846432476137415
kde,,-135.95851996346886,0.0010834799575644277
kde,,-134.9705893291706,0.0010822543478173061
kde,,-133.9826586948723,0.0010810043771949471
kde,,-132.994728060574,0.0010797667265217104
kde,,-132.00679742627574,0.0010785765642010944
kde,,-131.01886679197744,0.0010774673273008107
kde,,-130.03093615767915,0.0010764705202915888
kde,,-129.04300552338088,0.0010756155334658828
kde,,-128.0550748890826,0.0010749294829241764
kde,,-127.06714425478431,0.0010744370738604676
kde,,-126.07921362048603,0.0010741604887060776
kde,,-125.09128298618774,0.0010741193015034796
kde,,-124.10335235188946,0.0010743304196809515
kde,,-123.11542171759118,0.0010748080541861406
kde,,-122.12749108329288,0.0010755637187138361
kde,,-121.1395604489946,0.0010766062585321977
kde,,-120.15162981469632,0.0010779419091743057
kde,,-119.16369918039803,0.0010795743850200929
kde,,-118.17576854609975,0.0010815049975495105
kde,,-117.18783791180147,0.0010837328028031217
kde,,-116.19990727750317,0.0010862547773432237
kde,,-115.21197664320489,0.0010890660217690153
kde,,-114.22404600890661,0.0010921599906051987
kde,,-113.23611537460832,0.001095528747156529
kde,,-112.24818474031004,0.0010991632417030937
