layer,x,y
smoothed_profile,0.0,73.35664335664333
smoothed_profile,0.0,69.7132867132867
smoothed_profile,0.0,67.46480186480186
smoothed_profile,0.0,66.26363636363635
smoothed_profile,0.0,65.76223776223775
smoothed_profile,0.0,65.6130536130538
smoothed_profile,0.0,65.89743589743607
smoothed_profile,0.0,65.1212121212123
smoothed_profile,0.0,61.60186480186496
smoothed_profile,0.0,53.64335664335678
smoothed_profile,0.0,54.04195804195819
smoothed_profile,0.0,42.03916083916095
smoothed_profile,0.0,39.72284382284393
smoothed_profile,0.0,43.44895104895116
smoothed_profile,0.0,45.572494172494295
smoothed_profile,0.0,51.621445221445356
smoothed_profile,0.0,58.86153846153862
smoothed_profile,0.0,58.42331002331018
smoothed_profile,0.0,57.528205128205286
smoothed_profile,0.0,55.97109557109572
smoothed_profile,0.0,59.21118881118896
smoothed_profile,0.0,51.97342657342671
smoothed_profile,0.0,51.44125874125888
smoothed_profile,0.0,52.43822843822858
smoothed_profile,0.0,53.79487179487193
smoothed_profile,0.0,56.70396270396286
smoothed_profile,0.0,60.41025641025657
smoothed_profile,0.0,62.195804195804364
smoothed_profile,0.0,64.0186480186482
smoothed_profile,0.0,65.35664335664353
smoothed_profile,0.0,65.65081585081603
smoothed_profile,0.0,63.28671328671345
smoothed_profile,0.0,63.7361305361307
smoothed_profile,0.0,57.33310023310038
smoothed_profile,0.0,54.602331002331155
smoothed_profile,0.0,55.052913752913895
smoothed_profile,0.2,57.66247086247101
smoothed_profile,0.5,61.46083916083933
smoothed_profile,1.0,62.791608391608555
smoothed_profile,1.1,67.43986013986031
smoothed_profile,2.0,73.17878787878807
smoothed_profile,2.1,77.53962703962723
smoothed_profile,3.1,76.47902097902119
smoothed_profile,5.0,71.49254079254098
smoothed_profile,10.0,71.82237762237781
smoothed_profile,12.0,70.4128205128207
smoothed_profile,18.0,67.86736596736591
smoothed_profile,20.0,63.61596736596731
smoothed_profile,40.0,57.15524475524469
smoothed_profile,50.0,47.98181818181811
smoothed_profile,100.0,35.592307692307614
