series,residual
residual_sample,-3.2406444444444418
residual_sample,1.072222222222301
residual_sample,-1.6933333333333351
residual_sample,1.7593555555555582
residual_sample,-3.023111111111305
residual_sample,3.580666666667227
residual_sample,0.026666666666798733
residual_sample,5.959355555555561
residual_sample,2.8792444444440477
residual_sample,-5.1255555555558345
residual_sample,5.28955555555531
residual_sample,-3.4548888888883766
residual_sample,-4.440644444444445
residual_sample,0.41111111111166565
