series,residual
residual_sample,13.940000951232449
residual_sample,68.72504840401025
residual_sample,84.61757213039915
residual_sample,-16.359999048767552
residual_sample,-20.263036365596253
residual_sample,-23.047615744531434
residual_sample,-21.93219512346662
residual_sample,40.52000095123245
residual_sample,11.003085075445412
residual_sample,9.347711261764857
residual_sample,6.755421572297266
residual_sample,6.7708421933620855
residual_sample,-0.23999904876755096
residual_sample,-13.982895943443467
