series,predicted,residual
point,85.8394744205387,-35.83947442053871
point,48.01210325052759,-11.012103250527588
point,29.098417665522028,-2.098417665522028
point,85.8394744205387,11.160525579461293
point,82.37196539662102,13.628034603378978
point,79.21968446578676,16.88031553421324
point,76.0674035349525,18.932596465047496
point,85.8394744205387,-8.839474420538707
point,85.20901823437185,-7.209018234371854
point,84.26333395512158,-5.263333955121581
point,82.68719348970444,-0.6871934897044412
point,79.53491255887019,0.4650874411298105
point,85.8394744205387,-3.03947442053871
point,70.0780697663674,12.921930233632594
