series,thickness_nm,absolute_error
point,0.0,27.454699363584695
point,12.0,6.744573115520637
point,18.0,0.11049000851139823
point,0.0,19.545300636415305
point,1.1,21.635395542487842
point,2.1,24.544572729826513
point,3.1,26.253749917165194
point,0.0,0.45469936358469454
point,0.2,1.1071360738830407
point,0.5,2.9498892300846506
point,1.0,7.354477823753982
point,2.0,8.163655011092658
point,0.0,5.345300636415303
point,5.0,19.591186573108665
