series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,123.4,123.39497834097817,128.61748251748296,126.73241144571378,126.73241144571378,128.61748251748296
sorted_curves,1.0,187.8,187.88227817564766,191.93566433566465,192.80981345986496,191.93566433566465,192.80981345986496
sorted_curves,2.0,258.0,257.9999948845431,234.46806526806552,237.06379986623224,234.46806526806552,237.06379986623224
sorted_curves,3.0,260.0,260.00000377299205,260.1615384615387,263.53163764780163,260.1615384615387,263.53163764780163
sorted_curves,4.0,260.9,269.0000010173739,272.9629370629374,276.2505937875593,272.9629370629374,276.2505937875593
sorted_curves,5.0,269.0,270.0000037580214,276.81911421911497,279.25793526849134,276.81911421911497,279.25793526849134
sorted_curves,6.0,270.0,276.3653860047796,277.68601398601476,277.8504040324467,277.68601398601476,277.8504040324467
sorted_curves,7.0,277.0,276.3653860047796,277.2792540792548,275.4308189243054,275.4308189243054,277.2792540792548
sorted_curves,8.0,285.0,276.3653860047796,281.063403263404,277.43261157838117,277.43261157838117,281.063403263404
sorted_curves,9.0,286.0,276.3653860047796,285.5522144522146,279.8971806425326,279.8971806425326,285.5522144522146
sorted_curves,10.0,293.0,286.0093618135391,290.73682983683,284.1809159429679,284.1809159429679,290.73682983683
sorted_curves,11.0,296.0,295.9999948692033,296.93846153846164,291.1924062210186,291.1924062210186,296.93846153846164
sorted_curves,12.0,297.3,297.2696365230913,304.4783216783217,301.8402402180169,301.8402402180169,304.4783216783217
sorted_curves,13.0,318.1,318.09994381115246,313.6776223776223,317.03300667529504,313.6776223776223,317.03300667529504
