series,residual
residual_sample,-6.292315530166093
residual_sample,-2.607703304307549
residual_sample,-4.76539719137827
residual_sample,-1.2923155301660927
residual_sample,1.4121072572042692
residual_sample,6.052491609359151
residual_sample,1.6928759615140336
residual_sample,2.90768446983391
residual_sample,-23.964238659735116
residual_sample,-41.27212335408865
residual_sample,8.748068821988781
residual_sample,-1.8115468258563396
residual_sample,-7.4923155301660955
residual_sample,1.5096062306082985
