Al2O3 Thickness_nm,count,fraction
0.0,36,0.7058823529411765
0.2,1,0.0196078431372549
0.5,1,0.0196078431372549
1.0,1,0.0196078431372549
1.1,1,0.0196078431372549
2.0,1,0.0196078431372549
2.1,1,0.0196078431372549
3.1,1,0.0196078431372549
5.0,1,0.0196078431372549
10.0,1,0.0196078431372549
12.0,1,0.0196078431372549
18.0,1,0.0196078431372549
20.0,1,0.0196078431372549
40.0,1,0.0196078431372549
50.0,1,0.0196078431372549
100.0,1,0.0196078431372549
