target,MAE,MSE,RMSE,R2,Adj_R2,MAPE_percent,MedianAE,ExplainedVariance
Rct_initial_ohm,82.46329647648534,14602.321954739573,120.84006767103192,0.20480654357875072,0.1885781056926027,126.00673270526804,82.78421052631577,0.20688874781402977
ICE_percent,10.11245480010186,171.3694663172707,13.090816105853397,0.265863826224333,0.2508814553309521,20.598566264656583,8.75454545454545,0.27357914979972975
Initial Reversible Capacity_mAh_g at 0.1C,61.73881767841598,7379.495819912038,85.90399187413841,0.23554528467847247,0.21994416803925765,51.88991665359932,48.19756097560972,0.23878059109016692
Highest Capacity Retention_percent,11.19073019843127,213.95520815122532,14.627207804335908,0.25923155197220604,0.2441138285430674,15.385270440515997,9.205882352941174,0.3373059434297522
OVERALL_MEAN,41.376324788358616,5591.785612280027,58.615520863839905,0.24136180161344056,0.22587938940146995,53.47012151600998,37.235549827353026,0.26413860803341965
