target,MAE,MSE,RMSE,R2,Adj_R2,MAPE_percent,MedianAE,ExplainedVariance
Rct_initial_ohm,5.930084803668512,156.26475133988632,12.50059003966958,0.9266572731667708,0.918508081296412,30.299762728509933,2.1509862335733487e-08,0.9266579341225418
ICE_percent,1.021345772150797,4.984679489433773,2.2326395789365048,0.9407355443322832,0.9341506048136481,1.427005973786602,1.4964783190407616e-08,0.940760543445121
Initial Reversible Capacity_mAh_g at 0.1C,2.9629501420622053,46.89445616018792,6.847952698448488,0.954449852908166,0.9493887254535177,1.0717091270618924,1.61930984177161e-08,0.9544650814552343
Highest Capacity Retention_percent,2.0496166247987975,19.268534617126935,4.389593901162947,0.9624466062244545,0.9582740069160606,2.357086607127278,1.3899530415528716e-08,0.9624559747219488
OVERALL_MEAN,2.990999335670078,56.85310540165874,6.49269405455438,0.9460723191579186,0.9400803546199096,8.788891109121426,1.664181858984648e-08,0.9460848834362114
