model,cv_scheme,R2_mean,R2_std,folds
Linear Regression,KFold(5),-149.27923669918525,284.3424248517382,5
Linear Regression,RepeatedKFold(5x5),-63.55035832207761,170.57344257259444,25
Linear Regression,ShuffleSplit(15x20%),-17.107695378343582,25.601415388154667,15
Ridge Regression,KFold(5),-149.27960176775667,284.34394888763205,5
Ridge Regression,RepeatedKFold(5x5),-63.55022759276352,170.57394682329314,25
Ridge Regression,ShuffleSplit(15x20%),-17.10745338945754,25.601125255068713,15
Lasso Regression,KFold(5),-149.27924021485984,284.3425079438369,5
Lasso Regression,RepeatedKFold(5x5),-63.55035470050516,170.573477018646,25
Lasso Regression,ShuffleSplit(15x20%),-17.107682209004604,25.60139772450839,15
Elastic Net Regression,KFold(5),-149.2795020178919,284.3435066407715,5
Elastic Net Regression,RepeatedKFold(5x5),-63.550272545095574,170.5738060745454,25
Elastic Net Regression,ShuffleSplit(15x20%),-17.107536143726506,25.60122330419823,15
Polynomial Regression Degree 2,KFold(5),-158.58723706228363,217.54308470878757,5
Polynomial Regression Degree 2,RepeatedKFold(5x5),-60.52853866271549,132.55828842982743,25
Polynomial Regression Degree 2,ShuffleSplit(15x20%),-61.31546254323577,154.1682097271675,15
Polynomial Ridge Degree 2,KFold(5),-158.58826456365264,217.54350923059187,5
Polynomial Ridge Degree 2,RepeatedKFold(5x5),-60.52799865187495,132.55849314196445,25
Polynomial Ridge Degree 2,ShuffleSplit(15x20%),-61.31436822074913,154.16690937706926,15
Polynomial Regression Degree 3,KFold(5),-1080302.953353379,2415299.4307055706,5
Polynomial Regression Degree 3,RepeatedKFold(5x5),-216178.80397477178,1080154.8379159484,25
Polynomial Regression Degree 3,ShuffleSplit(15x20%),-5121.147815442112,13507.665638400907,15
Polynomial Ridge Degree 3,KFold(5),-247.5758798315886,522.754889920725,5
Polynomial Ridge Degree 3,RepeatedKFold(5x5),-87.36816717046051,277.33661530337463,25
Polynomial Ridge Degree 3,ShuffleSplit(15x20%),-12.115910548729198,25.337457736646936,15
Stochastic Gradient Regression,KFold(5),-434.2303893532224,626.1313300704936,5
Stochastic Gradient Regression,RepeatedKFold(5x5),-227.4555948976332,408.7318194249661,25
Stochastic Gradient Regression,ShuffleSplit(15x20%),-106.63772303265961,170.80388744843054,15
Decision Tree,KFold(5),-129.3454000252573,226.39376539220564,5
Decision Tree,RepeatedKFold(5x5),-60.31816120395223,161.0877713338396,25
Decision Tree,ShuffleSplit(15x20%),-12.240172788977462,29.88665952316398,15
Random Forest,KFold(5),-128.32427560940448,232.7761812943129,5
Random Forest,RepeatedKFold(5x5),-61.8520183637979,157.98146003355967,25
Random Forest,ShuffleSplit(15x20%),-9.972071437261011,17.385911655321788,15
Extra Trees,KFold(5),-140.9531337815615,247.00713303539558,5
Extra Trees,RepeatedKFold(5x5),-76.12234134053985,216.29614582952618,25
Extra Trees,ShuffleSplit(15x20%),-10.39576107584514,19.776302181105518,15
