series,predicted,residual
point,71.25,-3.25
point,61.0,3.0
point,61.0,-3.0
point,71.25,1.75
point,76.2,-1.2000000000000028
point,75.2,3.799999999999997
point,75.2,-1.2000000000000028
point,71.25,5.950000000000003
point,41.45,8.75
point,41.45,-8.75
point,76.2,6.200000000000003
point,76.2,-5.0
point,71.25,-4.450000000000003
point,75.2,-2.6000000000000085
