series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,32.7,45.09975000000002,34.465034965035024,45.20879778554784,34.465034965035024,45.20879778554784
sorted_curves,1.0,50.2,55.11391666666667,47.732867132867185,54.63046794871797,47.732867132867185,54.63046794871797
sorted_curves,2.0,58.0,61.83,57.30489510489516,61.41943861693863,57.30489510489516,61.41943861693863
sorted_curves,3.0,64.0,63.48,63.806759906759964,66.00994852369854,63.806759906759964,66.00994852369854
sorted_curves,4.0,66.8,70.4725,67.86410256410264,68.83623640248642,67.86410256410264,68.83623640248642
sorted_curves,5.0,68.0,70.89583333333333,70.10256410256429,70.33254098679117,70.10256410256429,70.33254098679117
sorted_curves,6.0,71.2,70.89583333333333,71.03962703962722,70.99540365190384,70.99540365190384,71.03962703962722
sorted_curves,7.0,72.6,70.89583333333333,72.14498834498853,71.55410062160081,71.55410062160081,72.14498834498853
sorted_curves,8.0,73.0,70.89583333333333,73.02983682983702,72.08888306138326,72.08888306138326,73.02983682983702
sorted_curves,9.0,74.0,71.48750000000003,74.08857808857809,72.27725330225331,72.27725330225331,74.08857808857809
sorted_curves,10.0,75.0,73.32499999999996,75.34242424242424,72.58771076146077,72.58771076146077,75.34242424242424
sorted_curves,11.0,77.2,74.67999999999998,76.9888111888112,73.24287684537686,73.24287684537686,76.9888111888112
sorted_curves,12.0,79.0,74.795,79.22517482517485,74.46537296037297,74.46537296037297,79.22517482517485
sorted_curves,13.0,82.4,75.625,82.24895104895107,76.47782051282053,76.47782051282053,82.24895104895107
