series,predicted,residual
point,22.335193009863968,17.664806990136032
point,101.35047243970517,19.64952756029483
point,140.8581121546258,9.141887845374214
point,22.335193009863968,-12.635193009863968
point,29.578260290932747,-21.378260290932747
point,36.16286691008618,-28.56286691008618
point,42.74747352923961,-31.847473529239615
point,22.335193009863968,44.24480699013603
point,23.652114333694655,13.847885666305345
point,25.627496319440684,10.872503680559316
point,28.919799629017405,6.080200370982595
point,35.50440624817084,1.6955937518291648
point,22.335193009863968,3.4848069901360326
point,55.25822610563114,-32.25822610563114
