series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,123.4,259.8294042225853,128.61748251748296,259.8498649875662,128.61748251748296,259.8498649875662
sorted_curves,1.0,187.8,259.8294042225853,191.93566433566465,259.78575459062637,191.93566433566465,259.78575459062637
sorted_curves,2.0,258.0,259.8294042225853,234.46806526806552,259.8009864934454,234.46806526806552,259.8009864934454
sorted_curves,3.0,260.0,259.8294042225853,260.1615384615387,259.8954470251067,259.8954470251067,260.1615384615387
sorted_curves,4.0,260.9,260.0244635154022,272.9629370629374,260.0690225146938,260.0690225146938,272.9629370629374
sorted_curves,5.0,269.0,260.31705245462757,276.81911421911497,260.3215992912907,260.3215992912907,276.81911421911497
sorted_curves,6.0,270.0,260.8047006866699,277.68601398601476,260.54666770607946,260.54666770607946,277.68601398601476
sorted_curves,7.0,277.0,260.9022303330783,277.2792540792548,260.4830119928058,260.4830119928058,277.2792540792548
sorted_curves,8.0,285.0,261.77999715075447,281.063403263404,260.81493106916093,260.81493106916093,281.063403263404
sorted_curves,9.0,286.0,261.8775267971629,285.5522144522146,261.51764467533405,261.51764467533405,285.5522144522146
sorted_curves,10.0,293.0,262.85282326124747,290.73682983683,263.171215498532,263.171215498532,290.73682983683
sorted_curves,11.0,296.0,264.7058865430082,296.93846153846164,266.12563629084224,266.12563629084224,296.93846153846164
sorted_curves,12.0,297.3,271.5329617916002,304.4783216783217,270.73089980435304,270.73089980435304,304.4783216783217
sorted_curves,13.0,318.1,277.3847405761077,313.6776223776223,277.3369987911525,277.3369987911525,313.6776223776223
