series,residual
residual_sample,17.664806990136036
residual_sample,19.649527560294814
residual_sample,9.141887845374185
residual_sample,-12.635193009863965
residual_sample,-21.378260290932744
residual_sample,-28.56286691008618
residual_sample,-31.847473529239615
residual_sample,44.244806990136034
residual_sample,13.847885666305348
residual_sample,10.87250368055932
residual_sample,6.0802003709826025
residual_sample,1.695593751829172
residual_sample,3.484806990136036
residual_sample,-32.25822610563114
