series,residual,kde_x,kde_density
residual_sample,18.339459528132956,,
residual_sample,14.96462883254982,,
residual_sample,1.7772134847582493,,
residual_sample,-11.960540471867045,,
residual_sample,-21.194899952295497,,
residual_sample,-28.826135843594095,,
residual_sample,-32.55737173489269,,
residual_sample,44.919459528132954,,
residual_sample,14.433212349873237,,
residual_sample,11.32384158248366,,
residual_sample,6.308223636834363,,
residual_sample,1.4769877455357658,,
residual_sample,4.159459528132956,,
residual_sample,-33.816719928360016,,
kde,,-33.816719928360016,0.008392378845322946
kde,,-33.421060735111304,0.008501026110980033
kde,,-33.0254015418626,0.008606210383321215
kde,,-32.62974234861389,0.008707871184457771
kde,,-32.234083155365184,0.008805961021210033
kde,,-31.838423962116472,0.008900445697573697
kde,,-31.442764768867765,0.008991304573490252
kde,,-31.047105575619057,0.009078530768149963
kde,,-30.65144638237035,0.009162131306321158
kde,,-30.25578718912164,0.009242127206472765
kde,,-29.860127995872933,0.009318553509736167
kde,,-29.464468802624225,0.0093914592490353
kde,,-29.068809609375514,0.00946090735799961
kde,,-28.673150416126806,0.009526974519560472
kde,,-28.277491222878098,0.009589750954416805
kde,,-27.88183202962939,0.009649340149838013
kde,,-27.486172836380682,0.00970585852955064
kde,,-27.09051364313197,0.009759435065727698
kde,,-26.694854449883266,0.009810210834365068
kde,,-26.299195256634555,0.009858338515586682
kde,,-25.903536063385847,0.00990398184066765
kde,,-25.50787687013714,0.009947314987801784
kde,,-25.11221767688843,0.009988521928865297
kde,,-24.716558483639723,0.010027795729641699
kde,,-24.32089929039101,0.010065337806172836
kde,,-23.925240097142307,0.010101357140087325
kde,,-23.529580903893596,0.010136069455929639
kde,,-23.133921710644888,0.010169696363670384
kde,,-22.73826251739618,0.010202464469720892
kde,,-22.342603324147472,0.01023460445990236
kde,,-21.946944130898764,0.010266350157931996
kde,,-21.551284937650053,0.010297937563085145
kde,,-21.15562574440135,0.01032960387077418
kde,,-20.759966551152637,0.010361586479851206
kde,,-20.36430735790393,0.010394121990493048
kde,,-19.96864816465522,0.010427445196563913
kde,,-19.572988971406513,0.010461788076373213
kde,,-19.177329778157805,0.010497378785754278
kde,,-18.781670584909094,0.010534440657383725
kde,,-18.38601139166039,0.010573191210242153
kde,,-17.990352198411678,0.010613841173084039
kde,,-17.59469300516297,0.0106565935257396
kde,,-17.199033811914262,0.010701642562013162
kde,,-16.803374618665554,0.010749172977872689
kde,,-16.407715425416846,0.010799358988543074
kde,,-16.01205623216814,0.010852363478022226
kde,,-15.61639703891943,0.010908337184434265
kde,,-15.220737845670719,0.010967417924518405
kde,,-14.825078652422011,0.01102972986042583
kde,,-14.429419459173303,0.011095382811859926
kde,,-14.033760265924595,0.011164471616448587
kde,,-13.638101072675887,0.011237075541080537
kde,,-13.24244187942718,0.01131325774677138
kde,,-12.846782686178472,0.0113930648094496
kde,,-12.45112349292976,0.01147652629886835
kde,,-12.055464299681052,0.01156365441765555
kde,,-11.659805106432344,0.011654443702313722
kde,,-11.264145913183636,0.011748870787771256
kde,,-10.868486719934928,0.011846894236870248
kde,,-10.47282752668622,0.011948454435951897
kde,,-10.077168333437513,0.01205347355746995
kde,,-9.681509140188801,0.012161855590326114
kde,,-9.285849946940093,0.012273486438379253
kde,,-8.890190753691385,0.012388234087333432
kde,,-8.494531560442677,0.012505948839958769
kde,,-8.09887236719397,0.012626463619344889
kde,,-7.703213173945262,0.012749594339629978
kde,,-7.307553980696554,0.012875140343389864
kde,,-6.911894787447842,0.01300288490461255
kde,,-6.516235594199134,0.013132595795924714
kde,,-6.120576400950426,0.013264025918479005
kde,,-5.7249172077017185,0.013396913992656042
kde,,-5.329258014453011,0.013530985307482972
kde,,-4.933598821204303,0.013665952526423756
kde,,-4.537939627955595,0.013801516546954775
kde,,-4.142280434706883,0.013937367411105184
kde,,-3.7466212414581754,0.014073185263915263
kde,,-3.3509620482094675,0.014208641356549194
kde,,-2.9553028549607596,0.014343399090592287
