series,residual
residual_sample,-35.83952954945971
residual_sample,-11.011952564810187
residual_sample,-2.0981640724854174
residual_sample,11.160470450540288
residual_sample,13.627998340799834
residual_sample,16.88029642285396
residual_sample,18.93259450490808
residual_sample,-8.839529549459712
residual_sample,-7.20906993304888
residual_sample,-5.263380508432647
residual_sample,-0.6872314674055815
residual_sample,0.46506661464854915
residual_sample,-3.039529549459715
residual_sample,12.921960860810927
