layer,x,y_lo,y_hi,y
response_band_10_90,0.0,205.31860008010017,269.4755485442979,
response_band_10_90,0.40160642570281124,198.62728649616176,272.5762520672659,
response_band_10_90,0.8032128514056225,202.07688686163718,276.9275315773634,
response_band_10_90,1.2048192771084336,212.8990378116631,282.12460662239016,
response_band_10_90,1.606425702811245,228.32537598137617,287.76269675014566,
response_band_10_90,2.0080321285140563,245.5875380059138,293.4370215084304,
response_band_10_90,2.4096385542168672,265.14297727272805,299.86740833946834,
response_band_10_90,2.8112449799196786,267.7735736208243,302.1425714840721,
response_band_10_90,3.21285140562249,270.44037121212193,304.2470950854706,
response_band_10_90,3.6144578313253013,271.9891774475532,307.63192026029594,
response_band_10_90,4.016064257028113,273.0449139471647,310.6429837801095,
response_band_10_90,4.417670682730924,274.7327427156185,313.6076624902882,
response_band_10_90,4.8192771084337345,276.46168162393246,316.3315133061391,
response_band_10_90,5.220883534136546,278.16869648407226,318.73287257187343,
response_band_10_90,5.622489959839357,279.6506080031088,320.82690860528453,
response_band_10_90,6.024096385542169,280.6791938616946,322.6078677156187,
response_band_10_90,6.42570281124498,281.42139568764645,324.16630273892866,
response_band_10_90,6.827309236947791,281.67248688811264,325.6121768648028,
response_band_10_90,7.228915662650603,281.5318424630932,327.0296215034974,
response_band_10_90,7.6305220883534135,280.98861985237056,328.43882459207555,
response_band_10_90,8.032128514056225,280.31708139083213,329.80563694638784,
response_band_10_90,8.433734939759036,279.6858760683768,331.49516200466286,
response_band_10_90,8.835341365461847,279.259755244756,333.08998805361387,
response_band_10_90,9.236947791164658,278.83896891996966,334.27988782051364,
response_band_10_90,9.638554216867469,278.27734605672174,334.75653409090984,
response_band_10_90,10.040160642570282,277.42022338772415,334.2838417832175,
response_band_10_90,10.441767068273093,276.2106211149968,332.92248970474037,
response_band_10_90,10.843373493975903,274.806376262627,330.5138640248647,
response_band_10_90,11.244979919678714,273.294636266512,327.57649728049796,
response_band_10_90,11.646586345381525,271.798333333334,324.16318745143826,
response_band_10_90,12.048192771084338,270.3779880536137,320.85804360916944,
response_band_10_90,12.449799196787149,269.0797455322462,318.2072076534585,
response_band_10_90,12.85140562248996,268.0113709207466,315.87419580419675,
response_band_10_90,13.25301204819277,267.2581789044296,313.3331161616171,
response_band_10_90,13.654618473895582,266.6406620046627,310.89107459207554,
response_band_10_90,14.056224899598394,265.95274572649646,309.0855292346552,
response_band_10_90,14.457831325301205,265.2580244755252,308.25140336052937,
response_band_10_90,14.859437751004016,264.5667929292936,308.7846236402496,
response_band_10_90,15.261044176706827,263.8873154623162,310.74970940171033,
response_band_10_90,15.662650602409638,263.21020784770855,313.8855352564112,
response_band_10_90,16.06425702811245,262.5851010101017,317.89070551670636,
response_band_10_90,16.46586345381526,262.11855574980643,322.6972176573435,
response_band_10_90,16.867469879518072,261.6285304972812,327.42938811188895,
response_band_10_90,17.269076305220885,260.85122571872637,331.5737019230778,
response_band_10_90,17.670682730923694,259.8436305361312,335.3238767482526,
response_band_10_90,18.072289156626507,258.56222513597584,338.9183479020988,
