layer,x,y_lo,y_hi,y
response_band_10_90,0.0,12.31638899905187,38.07160121077673,
response_band_10_90,0.07228915662650602,12.35310759796367,37.87687465011864,
response_band_10_90,0.14457831325301204,12.400366422966163,37.666704660277055,
response_band_10_90,0.21686746987951805,12.467577846340042,37.44806526008951,
response_band_10_90,0.2891566265060241,12.564154240365996,37.22793046839354,
response_band_10_90,0.3614457831325301,12.699507977324746,37.01327430402675,
response_band_10_90,0.4337349397590361,12.93675498614221,36.80598534671286,
response_band_10_90,0.5060240963855421,13.221222719048123,36.64746654169541,
response_band_10_90,0.5783132530120482,13.505669916251657,36.51878546417873,
response_band_10_90,0.6506024096385542,13.762304072492176,36.41021815042323,
response_band_10_90,0.7228915662650602,13.953230149044447,36.28583993047001,
response_band_10_90,0.7951807228915663,14.103900828841429,36.13958645823008,
response_band_10_90,0.8674698795180722,14.220578907546566,35.97637071110114,
response_band_10_90,0.9397590361445782,14.309100457525183,35.81495439317013,
response_band_10_90,1.0120481927710843,14.432744945427675,35.66227040641208,
response_band_10_90,1.0843373493975903,14.603504637862223,35.54519079587507,
response_band_10_90,1.1566265060240963,14.82000809644965,35.445080785221364,
response_band_10_90,1.2289156626506024,15.058711443494744,35.42746630798637,
response_band_10_90,1.3012048192771084,15.27184305384298,35.43991795625655,
response_band_10_90,1.3734939759036144,15.488326037642569,35.48315196970515,
response_band_10_90,1.4457831325301205,15.680555745616472,35.538938982282005,
response_band_10_90,1.5180722891566265,15.771327349220268,35.60185669595762,
response_band_10_90,1.5903614457831325,15.684739073288931,35.67741305189319,
response_band_10_90,1.6626506024096386,15.470089070066866,35.75081666652881,
response_band_10_90,1.7349397590361444,15.182702518716365,35.84465449654851,
response_band_10_90,1.8072289156626504,14.849547480620963,35.98695683634148,
response_band_10_90,1.8795180722891565,14.536014437362844,36.13264245078327,
response_band_10_90,1.9518072289156625,14.305393599269255,36.289858856681654,
response_band_10_90,2.0240963855421685,14.18083463889687,36.449571799272334,
response_band_10_90,2.0963855421686746,14.219665499824393,36.63886554330428,
response_band_10_90,2.1686746987951806,14.336160902737047,36.837879767368506,
response_band_10_90,2.2409638554216866,14.450384429963263,37.015345984272926,
response_band_10_90,2.3132530120481927,14.549672869010655,37.14789511483505,
response_band_10_90,2.3855421686746987,14.711422739216626,37.2365593112212,
response_band_10_90,2.4578313253012047,14.842481420074773,37.31506500987755,
response_band_10_90,2.5301204819277108,14.968012765145492,37.401501036077754,
response_band_10_90,2.602409638554217,15.135080446866436,37.47161432441213,
response_band_10_90,2.674698795180723,15.309910266838887,37.52409683465451,
response_band_10_90,2.746987951807229,15.466881876835137,37.58909442032116,
response_band_10_90,2.819277108433735,15.566496722678757,37.6619232095813,
response_band_10_90,2.891566265060241,15.62008518529107,37.73082811834332,
response_band_10_90,2.963855421686747,15.693980822079482,37.77098779674932,
response_band_10_90,3.036144578313253,15.732054778876215,37.79116923112734,
response_band_10_90,3.108433734939759,15.752941017756513,37.837654111921715,
response_band_10_90,3.180722891566265,15.694877305337247,37.93703946704207,
response_band_10_90,3.253012048192771,15.660952015770778,38.11052027926639,
response_band_10_90,3.325301204819277,15.671198442717333,38.36287207519477,
response_band_10_90,3.397590361445783,15.703016418229065,38.71937904986461,
