series,x,cumulative_probability,cumulative_smoothed
ecdf,7.6,0.07142857142857142,0.07142857142857142
ecdf,8.2,0.14285714285714285,0.14285714285714285
ecdf,9.7,0.21428571428571427,0.21428571428571433
ecdf,10.9,0.2857142857142857,0.2857142857142858
ecdf,23.0,0.35714285714285715,0.3571428571428573
ecdf,25.82,0.42857142857142855,0.4285714285714297
ecdf,35.0,0.5,0.5000000000000013
ecdf,36.5,0.5714285714285714,0.571428571428573
ecdf,37.2,0.6428571428571429,0.6428571428571446
ecdf,37.5,0.7142857142857143,0.7142857142857146
ecdf,40.0,0.7857142857142857,0.785714285714286
ecdf,66.58,0.8571428571428571,0.8571428571428572
ecdf,121.0,0.9285714285714286,0.9285714285714284
ecdf,150.0,1.0,0.9999999999999996
