series,predicted,residual
point,80.66524504922418,204.33475495077582
point,80.66878444701442,189.33121555298558
point,80.67055414590955,179.32944585409047
point,80.66524504922418,196.33475495077582
point,80.66556949402161,205.3344305059784
point,80.66586444383746,215.33413555616255
point,80.66615939365332,188.33384060634668
point,80.66524504922418,212.33475495077582
point,80.66530403918735,107.13469596081266
point,80.6653925241321,42.734607475867904
point,80.66553999904004,216.63446000095996
point,80.66583494885589,177.3341650511441
point,80.66524504922418,180.2347549507758
point,80.66671979830345,237.43328020169656
