series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-48.01111111111112,,
empirical_quantile,2,-1.2418667918433202,-38.01111111111112,,
empirical_quantile,3,-0.9208229763683788,-30.19999999999999,,
empirical_quantile,4,-0.6744897501960817,-6.677777777777777,,
empirical_quantile,5,-0.463707751457179,-3.1999999999999886,,
empirical_quantile,6,-0.2718800053992609,-2.1999999999999886,,
empirical_quantile,7,-0.08964235107576254,-2.12222222222222,,
empirical_quantile,8,0.08964235107576254,-1.1999999999999886,,
empirical_quantile,9,0.27188000539926077,1.8000000000000114,,
empirical_quantile,10,0.4637077514571792,2.6000000000000085,,
empirical_quantile,11,0.6744897501960817,9.422222222222217,,
empirical_quantile,12,0.9208229763683788,9.87777777777778,,
empirical_quantile,13,1.2418667918433206,14.322222222222223,,
empirical_quantile,14,1.8027430907391908,16.80000000000001,,
normal_reference,1,,,-1.8027430907391904,-38.40640392568601
normal_reference,2,,,-1.2418667918433202,-28.16399353608587
normal_reference,3,,,-0.9208229763683788,-22.30127029816225
normal_reference,4,,,-0.6744897501960817,-17.802870205276033
normal_reference,5,,,-0.463707751457179,-13.95368681479578
normal_reference,6,,,-0.2718800053992609,-10.450635423419424
normal_reference,7,,,-0.08964235107576254,-7.122712942662407
normal_reference,8,,,0.08964235107576254,-3.8487156287661595
normal_reference,9,,,0.27188000539926077,-0.520793148009143
normal_reference,10,,,0.4637077514571792,2.9822582433672187
normal_reference,11,,,0.6744897501960817,6.831441633847468
normal_reference,12,,,0.9208229763683788,11.329841726733683
normal_reference,13,,,1.2418667918433206,17.192564964657308
normal_reference,14,,,1.8027430907391908,27.43497535425745
quantile_band_lower,1,,,-1.8027430907391904,-54.466360034665854
quantile_band_upper,1,,,-1.8027430907391904,-21.34071597989365
quantile_band_lower,2,,,-1.2418667918433202,-40.970341720702365
quantile_band_upper,2,,,-1.2418667918433202,-15.233974209788936
quantile_band_lower,3,,,-0.9208229763683788,-33.71024823672444
quantile_band_upper,3,,,-0.9208229763683788,-10.806287961945067
quantile_band_lower,4,,,-0.6744897501960817,-28.473620955031453
quantile_band_upper,4,,,-0.6744897501960817,-7.059717550429312
quantile_band_lower,5,,,-0.463707751457179,-24.200904496839797
quantile_band_upper,5,,,-0.463707751457179,-3.6513990807794574
quantile_band_lower,6,,,-0.2718800053992609,-20.462321664089508
quantile_band_upper,6,,,-0.2718800053992609,-0.40468863014079304
quantile_band_lower,7,,,-0.08964235107576254,-17.033011943015133
quantile_band_upper,7,,,-0.08964235107576254,2.799192864494292
quantile_band_lower,8,,,0.08964235107576254,-13.770621435922859
quantile_band_upper,8,,,0.08964235107576254,6.061583371586576
quantile_band_lower,9,,,0.27188000539926077,-10.566739941287773
quantile_band_upper,9,,,0.27188000539926077,9.49089309266094
quantile_band_lower,10,,,0.4637077514571792,-7.320029490649114
quantile_band_upper,10,,,0.4637077514571792,13.229475925411222
quantile_band_lower,11,,,0.6744897501960817,-3.911711020999265
quantile_band_upper,11,,,0.6744897501960817,17.502192383602885
quantile_band_lower,12,,,0.9208229763683788,-0.16514060948350373
quantile_band_upper,12,,,0.9208229763683788,22.738819665295875
quantile_band_lower,13,,,1.2418667918433206,4.262545638360375
quantile_band_upper,13,,,1.2418667918433206,29.9989131492738
quantile_band_lower,14,,,1.8027430907391908,10.369287408465073
quantile_band_upper,14,,,1.8027430907391908,43.49493146323728
