series,x,cumulative_probability,cumulative_smoothed
ecdf,32.7,0.07142857142857142,0.07142857142857142
ecdf,50.2,0.14285714285714285,0.14285714285714285
ecdf,58.0,0.21428571428571427,0.21428571428571433
ecdf,64.0,0.2857142857142857,0.2857142857142858
ecdf,66.8,0.35714285714285715,0.3571428571428573
ecdf,68.0,0.42857142857142855,0.4285714285714297
ecdf,71.2,0.5,0.5000000000000013
ecdf,72.6,0.5714285714285714,0.571428571428573
ecdf,73.0,0.6428571428571429,0.6428571428571446
ecdf,74.0,0.7142857142857143,0.7142857142857146
ecdf,75.0,0.7857142857142857,0.785714285714286
ecdf,77.2,0.8571428571428571,0.8571428571428572
ecdf,79.0,0.9285714285714286,0.9285714285714284
ecdf,82.4,1.0,0.9999999999999996
