layer,x,y
residuals,0.0,22.695428686568334
residuals,12.0,36.23428771985198
residuals,18.0,40.5037172364938
residuals,0.0,14.695428686568334
residuals,1.1,26.31149076461935
residuals,2.1,38.68972901739295
residuals,3.1,14.067967270166605
residuals,0.0,30.695428686568334
residuals,0.2,-74.02892366287693
residuals,0.5,-137.71545218704486
residuals,1.0,37.373666939342
residuals,2.0,0.4519051921155892
residuals,0.0,-1.4045713134316884
residuals,5.0,67.68661995043655
residuals,10.0,97.8778112143047
residuals,20.0,140.76019374204108
residuals,40.0,-15.67504120248617
residuals,50.0,-74.39265867474981
residuals,100.0,-10.580746036067955
residuals,0.0,-161.30457131343167
residuals,0.0,-141.30457131343167
residuals,0.0,-22.304571313431666
residuals,0.0,48.695428686568334
residuals,0.0,-142.30457131343167
residuals,0.0,-35.304571313431666
residuals,0.0,22.695428686568334
residuals,0.0,47.695428686568334
residuals,0.0,21.695428686568334
residuals,0.0,47.695428686568334
residuals,0.0,32.695428686568334
residuals,0.0,-62.304571313431666
residuals,0.0,-227.30457131343167
residuals,0.0,-212.30457131343167
residuals,0.0,-78.30457131343167
residuals,0.0,-85.30457131343167
residuals,0.0,60.695428686568334
residuals,0.0,109.69542868656833
residuals,0.0,64.69542868656833
residuals,0.0,-2.3045713134316657
residuals,0.0,37.695428686568334
residuals,0.0,137.69542868656833
residuals,0.0,56.695428686568334
residuals,0.0,-102.30457131343167
residuals,0.0,-62.304571313431666
residuals,0.0,17.695428686568334
residuals,0.0,-20.804571313431666
residuals,0.0,-6.204571313431643
residuals,0.0,-3.4045713134316884
residuals,0.0,28.695428686568334
residuals,0.0,289.69542868656833
residuals,0.0,86.69542868656833
