series,residual,kde_x,kde_density
residual_sample,-28.044639298525325,,
residual_sample,-102.45077720207252,,
residual_sample,-143.15384615384613,,
residual_sample,18.955360701474675,,
residual_sample,12.326464726982849,,
residual_sample,7.309286568353912,,
residual_sample,1.0921084097249718,,
residual_sample,-1.0446392985253254,,
residual_sample,-1.0680749302511146,,
residual_sample,-1.6032283778397982,,
residual_sample,-1.1618174571542568,,
residual_sample,-8.278995615783188,,
residual_sample,4.755360701474672,,
residual_sample,-20.630530091669996,,
kde,,-143.15384615384613,0.0013865975654768219
kde,,-142.3392270239199,0.0014016115770727974
kde,,-141.52460789399368,0.0014160654655628244
kde,,-140.70998876406742,0.0014299505212307813
kde,,-139.8953696341412,0.0014432590213278886
kde,,-139.08075050421496,0.0014559841951419675
kde,,-138.26613137428873,0.001468120185197692
kde,,-137.45151224436248,0.0014796620051522385
kde,,-136.63689311443625,0.0014906054949861234
kde,,-135.82227398451002,0.001500947274118927
kde,,-135.0076548545838,0.001510684693103497
kde,,-134.19303572465753,0.001519815784570026
kde,,-133.3784165947313,0.0015283392141026745
kde,,-132.56379746480508,0.0015362542317361796
kde,,-131.74917833487885,0.0015435606247578876
kde,,-130.93455920495262,0.001550258672491997
kde,,-130.11994007502636,0.0015563491037274618
kde,,-129.30532094510014,0.001561833057429098
kde,,-128.4907018151739,0.0015667120473431947
kde,,-127.67608268524766,0.001570987931074582
kde,,-126.86146355532142,0.0015746628841719452
kde,,-126.0468444253952,0.0015777393797126401
kde,,-125.23222529546896,0.0015802201738277291
kde,,-124.41760616554272,0.0015821082975530007
kde,,-123.6029870356165,0.001583407055332772
kde,,-122.78836790569025,0.001584120030441015
kde,,-121.97374877576402,0.0015842510975193338
kde,,-121.15912964583778,0.0015838044423641788
kde,,-120.34451051591155,0.0015827845890271546
kde,,-119.52989138598531,0.001581196434222924
kde,,-118.71527225605908,0.0015790452889698479
kde,,-117.90065312613285,0.0015763369273196265
kde,,-117.08603399620661,0.0015730776419646995
kde,,-116.27141486628037,0.001569274306446441
kde,,-115.45679573635414,0.0015649344436240585
kde,,-114.64217660642791,0.0015600663000040471
kde,,-113.82755747650167,0.0015546789254736184
kde,,-113.01293834657544,0.0015487822579293054
kde,,-112.1983192166492,0.0015423872122442353
kde,,-111.38370008672297,0.001535505772974925
kde,,-110.56908095679672,0.0015281510901710865
kde,,-109.7544618268705,0.0015203375776202072
kde,,-108.93984269694425,0.0015120810128326852
kde,,-108.12522356701803,0.0015033986380533582
kde,,-107.3106044370918,0.0014943092615712218
kde,,-106.49598530716555,0.0014848333585912182
kde,,-105.68136617723931,0.0014749931709299282
kde,,-104.86674704731308,0.0014648128048008555
kde,,-104.05212791738685,0.001454318325964435
kde,,-103.23750878746061,0.0014435378515327505
kde,,-102.42288965753437,0.0014325016377389017
kde,,-101.60827052760814,0.0014212421630056113
kde,,-100.79365139768191,0.0014097942056766953
kde,,-99.97903226775567,0.0013981949158078987
kde,,-99.16441313782943,0.00138648388044994
kde,,-98.3497940079032,0.0013747031818958377
kde,,-97.53517487797697,0.001362897448406277
kde,,-96.72055574805074,0.0013511138969702623
kde,,-95.9059366181245,0.001339402367703208
kde,,-95.09131748819826,0.0013278153495302517
kde,,-94.27669835827203,0.00131640799684854
kde,,-93.4620792283458,0.0013052381369079102
kde,,-92.64746009841956,0.0012943662676943614
kde,,-91.83284096849331,0.0012838555461445018
kde,,-91.01822183856709,0.0012737717665612226
kde,,-90.20360270864086,0.001264183329141044
kde,,-89.38898357871462,0.0012551611985612305
kde,,-88.57436444878837,0.0012467788526099005
kde,,-87.75974531886214,0.0012391122208744042
kde,,-86.94512618893592,0.0012322396135322944
kde,,-86.13050705900967,0.0012262416403148893
kde,,-85.31588792908343,0.0012212011197357813
kde,,-84.5012687991572,0.001217202978695604
kde,,-83.68664966923097,0.0012143341425899451
kde,,-82.87203053930475,0.0012126834160595935
kde,,-82.0574114093785,0.0012123413545314632
kde,,-81.24279227945226,0.0012134001267047369
kde,,-80.42817314952603,0.0012159533681402519
kde,,-79.6135540195998,0.0012200960261122445
kde,,-78.79893488967356,0.0012259241958805095
kde,,-77.98431575974732,0.001233534948538344
kde,,-77.16969662982109,0.0012430261505875445
kde,,-76.35507749989486,0.0012544962753868588
kde,,-75.54045836996862,0.0012680442066148948
kde,,-74.72583924004239,0.0012837690338832486
kde,,-73.91122011011615,0.00130176984063084
kde,,-73.09660098018992,0.0013221454844267251
kde,,-72.28198185026368,0.0013449943698064827
kde,,-71.46736272033745,0.0013704142137670407
kde,,-70.6527435904112,0.0013985018040471144
kde,,-69.83812446048498,0.001429352750325581
kde,,-69.02350533055873,0.0014630612284786413
kde,,-68.2088862006325,0.001499719718048856
kde,,-67.39426707070626,0.001539418733095428
kde,,-66.57964794078003,0.0015822465466157674
kde,,-65.76502881085379,0.0016282889087536722
kde,,-64.95040968092756,0.0016776287590395604
kde,,-64.13579055100134,0.0017303459329432746
kde,,-63.32117142107509,0.0017865168630601003
kde,,-62.506552291148864,0.0018462142752958283
kde,,-61.69193316122262,0.0019095068804669386
kde,,-60.87731403129639,0.0019764590617870124
kde,,-60.06269490137015,0.0020471305587703714
kde,,-59.24807577144392,0.00212157614814811
kde,,-58.43345664151768,0.0021998453224600857
kde,,-57.61883751159145,0.0022819819670584374
kde,,-56.80421838166521,0.002368024036333509
kde,,-55.98959925173898,0.00245800323005089
kde,,-55.17498012181274,0.0025519446707683692
kde,,-54.36036099188651,0.002649866583382847
kde,,-53.545741861960266,0.0027517799779393473
kde,,-52.73112273203404,0.0028576883369159675
kde,,-51.91650360210781,0.0029675873082795996
kde,,-51.10188447218157,0.0030814644056860806
kde,,-50.28726534225534,0.003199298717274645
kde,,-49.472646212329096,0.0033210606245789726
kde,,-48.65802708240287,0.003446711533144692
kde,,-47.843407952476625,0.0035762036165052917
kde,,-47.028788822550396,0.0037094795752234534
kde,,-46.214169692624154,0.0038464724127525527
kde,,-45.399550562697925,0.0039871052299117315
kde,,-44.58493143277168,0.004131291039797377
kde,,-43.770312302845454,0.004278932604972366
kde,,-42.95569317291921,0.004429922298781889
kde,,-42.14107404299298,0.0045841419926395495
kde,,-41.32645491306674,0.004741462971109714
kde,,-40.51183578314051,0.0049017458765803126
kde,,-39.69721665321427,0.005064840685274707
kde,,-38.88259752328804,0.0052305867162904624
kde,,-38.06797839336181,0.005398812675277407
kde,,-37.25335926343557,0.005569336734276198
kde,,-36.43874013350934,0.005741966649131992
kde,,-35.6241210035831,0.00591649991577576
kde,,-34.80950187365687,0.006092723966527971
kde,,-33.99488274373063,0.006270416407426728
kde,,-33.1802636138044,0.006449345297414572
kde,,-32.36564448387816,0.006629269470036447
kde,,-31.55102535395193,0.006809938898105584
kde,,-30.736406224025686,0.006991095101586042
