series,sorted_index,sorted_actual,sorted_predicted,smoothed_actual,smoothed_predicted,between_curves_lo,between_curves_hi
sorted_curves,0.0,7.6,42.2501821820918,7.160559440559443,42.25230585105185,7.160559440559443,42.25230585105185
sorted_curves,1.0,8.2,42.2501821820918,7.570349650349641,42.245983634118275,7.570349650349641,42.245983634118275
sorted_curves,2.0,9.7,42.2501821820918,10.32955710955709,42.24782721990515,10.32955710955709,42.24782721990515
sorted_curves,3.0,10.9,42.2501821820918,14.778974358974331,42.25609085035869,14.778974358974331,42.25609085035869
sorted_curves,4.0,23.0,42.26599007072115,20.25939393939391,42.269028767425105,20.25939393939391,42.269028767425105
sorted_curves,5.0,25.82,42.28585298124405,26.11160839160846,42.284895213050746,26.11160839160846,42.284895213050746
sorted_curves,6.0,35.0,42.31015138473789,28.87762237762245,42.294847411891766,28.87762237762245,42.294847411891766
sorted_curves,7.0,36.5,42.313886840005644,29.01282051282059,42.054464205660665,29.01282051282059,42.054464205660665
sorted_curves,8.0,37.2,42.33556109784081,33.26573426573435,41.26912729425047,33.26573426573435,41.26912729425047
sorted_curves,9.0,37.5,42.33704291439419,37.98974358974381,41.01081699301423,37.98974358974381,41.01081699301423
sorted_curves,10.0,40.0,42.349685704038464,49.652540792541046,41.7158605318754,41.7158605318754,49.652540792541046
sorted_curves,11.0,66.58,42.423035161698785,71.23696969696998,43.83326532880447,43.83326532880447,71.23696969696998
sorted_curves,12.0,121.0,45.498127263778045,105.72587412587447,47.81203880177205,47.81203880177205,105.72587412587447
sorted_curves,13.0,150.0,55.87993785317386,156.10209790209828,54.10118836874871,54.10118836874871,156.10209790209828
