series,predicted,residual
point,21.68594266770973,18.31405733229027
point,103.12509004159342,17.874909958406576
point,143.84466372853527,6.1553362714647335
point,21.68594266770973,-11.985942667709729
point,29.15119784364907,-20.95119784364907
point,35.937793458139375,-28.337793458139373
point,42.724389072629684,-31.824389072629685
point,21.68594266770973,44.894057332290274
point,23.04326179060779,14.45673820939221
point,25.079240474954883,11.420759525045117
point,28.472538282200038,6.527461717799962
point,35.259133896690344,1.9408661033096593
point,21.68594266770973,4.134057332290272
point,55.61892074016127,-32.61892074016127
