series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-20.160130180727396,,
empirical_quantile,2,-1.2418667918433202,-19.993342535913502,,
empirical_quantile,3,-0.9208229763683788,-19.548118948740026,,
empirical_quantile,4,-0.6744897501960817,-15.036107716752662,,
empirical_quantile,5,-0.463707751457179,-3.873342535913501,,
empirical_quantile,6,-0.2718800053992609,-0.6332863759766632,,
empirical_quantile,7,-0.08964235107576254,6.518668696073867,,
empirical_quantile,8,0.08964235107576254,7.412663080080183,,
empirical_quantile,9,0.27188000539926077,8.049059710483974,,
empirical_quantile,10,0.4637077514571792,9.930679928061238,,
empirical_quantile,11,0.6744897501960817,10.306657464086499,,
empirical_quantile,12,0.9208229763683788,36.8866574640865,,
empirical_quantile,13,1.2418667918433206,105.8507922479349,,
empirical_quantile,14,1.8027430907391908,142.12285963985912,,
normal_reference,1,,,-1.8027430907391904,-56.57644549774366
normal_reference,2,,,-1.2418667918433202,-33.46652563872651
normal_reference,3,,,-0.9208229763683788,-20.238480771320873
normal_reference,4,,,-0.6744897501960817,-10.088754126316353
normal_reference,5,,,-0.463707751457179,-1.4038531808338028
normal_reference,6,,,-0.2718800053992609,6.500071172649026
normal_reference,7,,,-0.08964235107576254,14.008852690074503
normal_reference,8,,,0.08964235107576254,21.39596301516015
normal_reference,9,,,0.27188000539926077,28.904744532585624
normal_reference,10,,,0.4637077514571792,36.80866888606846
normal_reference,11,,,0.6744897501960817,45.49356983155101
normal_reference,12,,,0.9208229763683788,55.64329647655553
normal_reference,13,,,1.2418667918433206,68.87134134396118
normal_reference,14,,,1.8027430907391908,91.98126120297835
quantile_band_lower,1,,,-1.8027430907391904,-92.81247632450166
quantile_band_upper,1,,,-1.8027430907391904,-18.071184942405466
quantile_band_lower,2,,,-1.2418667918433202,-62.36145065888195
quantile_band_upper,2,,,-1.2418667918433202,-4.292561792318832
quantile_band_lower,3,,,-0.9208229763683788,-45.980523494113996
quantile_band_upper,3,,,-0.9208229763683788,5.69761341609115
quantile_band_lower,4,,,-0.6744897501960817,-34.165137055942544
quantile_band_upper,4,,,-0.6744897501960817,14.150989004732661
quantile_band_lower,5,,,-0.463707751457179,-24.52461971938154
quantile_band_upper,5,,,-0.463707751457179,21.841167750898983
quantile_band_lower,6,,,-0.2718800053992609,-16.089266480764685
quantile_band_upper,6,,,-0.2718800053992609,29.166710808212677
quantile_band_lower,7,,,-0.08964235107576254,-8.351725236933394
quantile_band_upper,7,,,-0.08964235107576254,36.3956190204812
quantile_band_lower,8,,,0.08964235107576254,-0.9908033152465521
quantile_band_upper,8,,,0.08964235107576254,43.756540942168066
quantile_band_lower,9,,,0.27188000539926077,6.238104897021978
quantile_band_upper,9,,,0.27188000539926077,51.49408218599934
quantile_band_lower,10,,,0.4637077514571792,13.56364795433566
quantile_band_upper,10,,,0.4637077514571792,59.92943542461618
quantile_band_lower,11,,,0.6744897501960817,21.25382670050197
quantile_band_upper,11,,,0.6744897501960817,69.5699527611772
quantile_band_lower,12,,,0.9208229763683788,29.707202289143492
quantile_band_upper,12,,,0.9208229763683788,81.38533919934865
quantile_band_lower,13,,,1.2418667918433206,39.69737749755349
quantile_band_upper,13,,,1.2418667918433206,97.7662663641166
quantile_band_lower,14,,,1.8027430907391908,53.476000647640106
quantile_band_upper,14,,,1.8027430907391908,128.2172920297363
