series,residual
residual_sample,-26.698715989410644
residual_sample,-0.19945790630107751
residual_sample,-0.25098790608360133
residual_sample,20.301284010589356
residual_sample,0.10456909241582935
residual_sample,0.10508439241365863
residual_sample,0.0994160924375791
residual_sample,0.30128401058935594
residual_sample,0.011815092807282213
residual_sample,0.016968092785532463
residual_sample,0.03242709272028321
residual_sample,0.022121092763782713
residual_sample,6.101284010589353
residual_sample,0.037580092698547674
