series,predicted,residual
point,262.9656150820952,22.034384917904788
point,262.96844016254175,7.031559837458246
point,262.9012986835171,-2.9012986835170977
point,262.9656150820952,14.034384917904788
point,262.9689342179017,23.031065782098324
point,262.9718825301131,33.02811746988692
point,262.97462581125933,6.02537418874067
point,262.9656150820952,30.034384917904788
point,262.96621680233477,-75.16621680233476
point,262.9671228697051,-139.56712286970512
point,262.9686332976657,34.33136670233432
point,262.97159470199256,-4.971594701992558
point,262.9656150820952,-2.065615082095235
point,262.97879059458796,55.12120940541206
