series,rank,theoretical_quantile,ordered_residual,x,y
empirical_quantile,1,-1.8027430907391904,-32.25822610563114,,
empirical_quantile,2,-1.2418667918433202,-31.847473529239615,,
empirical_quantile,3,-0.9208229763683788,-28.56286691008618,,
empirical_quantile,4,-0.6744897501960817,-21.378260290932747,,
empirical_quantile,5,-0.463707751457179,-12.635193009863968,,
empirical_quantile,6,-0.2718800053992609,1.6955937518291648,,
empirical_quantile,7,-0.08964235107576254,3.4848069901360326,,
empirical_quantile,8,0.08964235107576254,6.080200370982595,,
empirical_quantile,9,0.27188000539926077,9.141887845374214,,
empirical_quantile,10,0.4637077514571792,10.872503680559316,,
empirical_quantile,11,0.6744897501960817,13.847885666305345,,
empirical_quantile,12,0.9208229763683788,17.664806990136032,,
empirical_quantile,13,1.2418667918433206,19.64952756029483,,
empirical_quantile,14,1.8027430907391908,44.24480699013603,,
normal_reference,1,,,-1.8027430907391904,-39.67545346906342
normal_reference,2,,,-1.2418667918433202,-27.331475221104057
normal_reference,3,,,-0.9208229763683788,-20.26582120315758
normal_reference,4,,,-0.6744897501960817,-14.844426161850938
normal_reference,5,,,-0.463707751457179,-10.205456013501939
normal_reference,6,,,-0.2718800053992609,-5.983638244850547
normal_reference,7,,,-0.08964235107576254,-1.9728828512694736
normal_reference,8,,,0.08964235107576254,1.9728828512694585
normal_reference,9,,,0.27188000539926077,5.983638244850528
normal_reference,10,,,0.4637077514571792,10.205456013501928
normal_reference,11,,,0.6744897501960817,14.844426161850924
normal_reference,12,,,0.9208229763683788,20.265821203157564
normal_reference,13,,,1.2418667918433206,27.331475221104053
normal_reference,14,,,1.8027430907391908,39.67545346906342
quantile_band_lower,1,,,-1.8027430907391904,-59.03063856042829
quantile_band_upper,1,,,-1.8027430907391904,-19.108177527531147
quantile_band_lower,2,,,-1.2418667918433202,-42.765467554316096
quantile_band_upper,2,,,-1.2418667918433202,-11.74843653798657
quantile_band_lower,3,,,-0.9208229763683788,-34.01572675742604
quantile_band_upper,3,,,-0.9208229763683788,-6.412264616222047
quantile_band_lower,4,,,-0.6744897501960817,-27.704632903627388
quantile_band_upper,4,,,-0.6744897501960817,-1.8969618793626493
quantile_band_lower,5,,,-0.463707751457179,-22.55522792829377
quantile_band_upper,5,,,-0.463707751457179,2.2106853883346975
quantile_band_lower,6,,,-0.2718800053992609,-18.049551685080328
quantile_band_upper,6,,,-0.2718800053992609,6.123565428837605
quantile_band_lower,7,,,-0.08964235107576254,-13.916606119313926
quantile_band_upper,7,,,-0.08964235107576254,9.984828742302529
quantile_band_lower,8,,,0.08964235107576254,-9.984828742302549
quantile_band_upper,8,,,0.08964235107576254,13.916606119313922
quantile_band_lower,9,,,0.27188000539926077,-6.123565428837621
quantile_band_upper,9,,,0.27188000539926077,18.049551685080313
quantile_band_lower,10,,,0.4637077514571792,-2.2106853883347184
quantile_band_upper,10,,,0.4637077514571792,22.555227928293746
quantile_band_lower,11,,,0.6744897501960817,1.896961879362622
quantile_band_upper,11,,,0.6744897501960817,27.704632903627374
quantile_band_lower,12,,,0.9208229763683788,6.412264616222025
quantile_band_upper,12,,,0.9208229763683788,34.01572675742602
quantile_band_lower,13,,,1.2418667918433206,11.748436537986562
quantile_band_upper,13,,,1.2418667918433206,42.76546755431608
quantile_band_lower,14,,,1.8027430907391908,19.108177527531122
quantile_band_upper,14,,,1.8027430907391908,59.03063856042826
