series,residual,kde_x,kde_density
residual_sample,-2.9114187772602236,,
residual_sample,0.7168178968443613,,
residual_sample,0.030936233896625254,,
residual_sample,-10.911418777260224,,
residual_sample,-0.20383041546733693,,
residual_sample,11.34852264070804,,
residual_sample,-14.099124303116525,,
residual_sample,5.088581222739776,,
residual_sample,-99.80094816602514,,
residual_sample,-163.73524224917256,,
residual_sample,10.940934278915165,,
residual_sample,-26.80671266490947,,
residual_sample,-27.011418777260246,,
residual_sample,37.950346503616686,,
kde,,-163.73524224917256,0.0010387983886043818
kde,,-162.72174682830428,0.0010457144574124702
kde,,-161.708251407436,0.0010520004958138435
kde,,-160.69475598656769,0.0010576723039581939
kde,,-159.6812605656994,0.0010627484321629754
kde,,-158.66776514483112,0.0010672500474775547
kde,,-157.65426972396284,0.0010712007806691476
kde,,-156.64077430309453,0.0010746265547022745
kde,,-155.62727888222625,0.0010775553959676565
kde,,-154.61378346135797,0.001080017229692337
kde,,-153.6002880404897,0.0010820436611285321
kde,,-152.5867926196214,0.0010836677442724958
kde,,-151.5732971987531,0.0010849237400048528
kde,,-150.55980177788481,0.0010858468656688917
kde,,-149.54630635701653,0.0010864730382117308
kde,,-148.53281093614825,0.001086838613103895
kde,,-147.51931551527997,0.0010869801213244815
kde,,-146.50582009441166,0.0010869340067509003
kde,,-145.49232467354338,0.0010867363663233764
kde,,-144.4788292526751,0.0010864226953644712
kde,,-143.46533383180682,0.0010860276404225252
kde,,-142.4518384109385,0.001085584761974968
kde,,-141.43834299007023,0.001085126309273066
kde,,-140.42484756920194,0.001084683009534087
kde,,-139.41135214833366,0.0010842838735906923
kde,,-138.39785672746535,0.001083956019991219
kde,,-137.38436130659707,0.0010837245194094136
kde,,-136.3708658857288,0.0010836122610691553
kde,,-135.3573704648605,0.0010836398427200944
kde,,-134.34387504399223,0.0010838254855153112
kde,,-133.33037962312392,0.001084184974943765
kde,,-132.31688420225564,0.0010847316287600553
kde,,-131.30338878138735,0.0010854762926337822
kde,,-130.28989336051907,0.0010864273640124771
kde,,-129.2763979396508,0.001087590844457647
kde,,-128.26290251878248,0.0010889704204750355
kde,,-127.2494070979142,0.0010905675726198358
kde,,-126.23591167704592,0.0010923817124173535
kde,,-125.22241625617764,0.0010944103464016412
kde,,-124.20892083530934,0.001096649266340969
kde,,-123.19542541444105,0.0010990927644916014
kde,,-122.18192999357277,0.001101733872502258
kde,,-121.16843457270448,0.0011045646223825619
kde,,-120.15493915183619,0.0011075763277515606
kde,,-119.14144373096791,0.0011107598833986212
kde,,-118.12794831009961,0.001114106081020049
kde,,-117.11445288923133,0.0011176059388421427
kde,,-116.10095746836305,0.001121251042706035
kde,,-115.08746204749475,0.0011250338960727487
kde,,-114.07396662662646,0.0011289482763090803
kde,,-113.06047120575818,0.0011329895945369468
kde,,-112.0469757848899,0.0011371552562710447
kde,,-111.0334803640216,0.0011414450200324
kde,,-110.01998494315332,0.0011458613511086408
kde,,-109.00648952228502,0.0011504097676355248
kde,,-107.99299410141674,0.0011550991761981012
kde,,-106.97949868054846,0.0011599421941934091
kde,,-105.96600325968016,0.0011649554562592275
kde,,-104.95250783881187,0.0011701599021542942
kde,,-103.93901241794359,0.0011755810435737412
kde,,-102.9255169970753,0.0011812492074981921
kde,,-101.91202157620702,0.0011871997538049552
kde,,-100.89852615533873,0.0011934732650137453
kde,,-99.88503073447043,0.0012001157061961563
kde,,-98.87153531360215,0.0012071785532462662
kde,,-97.85803989273387,0.0012147188878879516
kde,,-96.84454447186558,0.0012227994579812656
kde,,-95.8310490509973,0.0012314887018841979
kde,,-94.817553630129,0.0012408607358258418
kde,,-93.80405820926072,0.0012509953034511025
kde,,-92.79056278839242,0.0012619776869041601
kde,,-91.77706736752414,0.0012738985790267366
kde,,-90.76357194665584,0.0012868539164565072
kde,,-89.75007652578756,0.0013009446736195933
kde,,-88.73658110491928,0.0013162766178179035
kde,,-87.72308568405099,0.001332960025816138
kde,,-86.7095902631827,0.0013511093625336416
kde,,-85.69609484231441,0.001370842922642196
kde,,-84.68259942144613,0.0013922824360615095
kde,,-83.66910400057783,0.0014155526385290994
kde,,-82.65560857970955,0.0014407808085998017
kde,,-81.64211315884127,0.0014680962726020303
kde,,-80.62861773797297,0.0014976298792426326
kde,,-79.61512231710469,0.0015295134457096729
kde,,-78.6016268962364,0.0015638791772723802
kde,,-77.58813147536812,0.0016008590625197815
kde,,-76.57463605449982,0.0016405842465141611
kde,,-75.56114063363154,0.0016831843842622688
kde,,-74.54764521276326,0.001728786977026366
kde,,-73.53414979189496,0.0017775166941084847
kde,,-72.52065437102668,0.001829494682844987
kde,,-71.50715895015838,0.0018848378696443985
kde,,-70.4936635292901,0.0019436582549897004
kde,,-69.48016810842181,0.0020060622054067314
kde,,-68.46667268755353,0.0020721497454728823
kde,,-67.45317726668523,0.00214201385300491
kde,,-66.43968184581695,0.0022157397606210505
kde,,-65.42618642494867,0.0022934042669206208
kde,,-64.41269100408037,0.002375075060563447
kde,,-63.39919558321209,0.0024608100605615192
kde,,-62.385700162343795,0.0025506567761156493
kde,,-61.372204741475514,0.0026446516893400846
kde,,-60.35870932060722,0.0027428196642175313
kde,,-59.34521389973894,0.0028451733851148787
kde,,-58.33171847887064,0.0029517128281658575
kde,,-57.31822305800236,0.003062424768789504
kde,,-56.30472763713408,0.003177282328562528
kde,,-55.29123221626578,0.003296244564598024
kde,,-54.2777367953975,0.0034192561045021086
kde,,-53.264241374529206,0.0035462468298828533
kde,,-52.250745953660925,0.003677131611271641
kde,,-51.23725053279263,0.003811810097185184
kde,,-50.22375511192435,0.003950166559905889
kde,,-49.210259691056066,0.0040920698003889715
kde,,-48.19676427018777,0.0042373731145156045
kde,,-47.18326884931949,0.004385914322702697
kde,,-46.169773428451194,0.004537515864651044
kde,,-45.15627800758291,0.004691984960764598
kde,,-44.14278258671462,0.004849113841504909
kde,,-43.129287165846335,0.005008680045656294
kde,,-42.115791744978054,0.005170446788170078
kde,,-41.10229632410976,0.0053341633979307355
kde,,-40.08880090324148,0.005499565825444192
kde,,-39.07530548237318,0.005666377220090337
kde,,-38.0618100615049,0.005834308576209141
kde,,-37.048314640636605,0.006003059446904981
kde,,-36.03481921976832,0.00617231872405843
kde,,-35.02132379890003,0.006341765482631645
kde,,-34.007828378031746,0.006511069886944653
kde,,-32.994332957163465,0.006679894156188588
kde,,-31.980837536295184,0.006847893586030711
kde,,-30.967342115426874,0.007014717622758549
kde,,-29.953846694558592,0.00718001098600946
kde,,-28.94035127369031,0.007343414835741471
kde,,-27.92685585282203,0.007504567978724142
kde,,-26.91336043195372,0.007663108109468802
