layer,x,y
smoothed_profile,0.0,31.76293706293709
smoothed_profile,0.0,35.92307692307694
smoothed_profile,0.0,37.960745920745936
smoothed_profile,0.0,38.13960372960375
smoothed_profile,0.2,36.72331002331005
smoothed_profile,0.5,33.975524475524566
smoothed_profile,1.0,30.33729603729612
smoothed_profile,1.1,13.17855477855481
smoothed_profile,2.0,12.867319347319377
smoothed_profile,2.1,10.60088578088611
smoothed_profile,3.1,19.47955710955749
smoothed_profile,5.0,44.26335664335707
smoothed_profile,12.0,89.71230769230819
smoothed_profile,18.0,160.58643356643412
