series,value
raw_sample,285.0
raw_sample,270.0
raw_sample,260.0
raw_sample,277.0
raw_sample,286.0
raw_sample,296.0
raw_sample,269.0
raw_sample,293.0
raw_sample,187.8
raw_sample,123.4
raw_sample,297.3
raw_sample,258.0
raw_sample,260.9
raw_sample,318.1
