series,x,cumulative_probability,cumulative_smoothed
ecdf,123.4,0.07142857142857142,0.07142857142857142
ecdf,187.8,0.14285714285714285,0.14285714285714285
ecdf,258.0,0.21428571428571427,0.21428571428571433
ecdf,260.0,0.2857142857142857,0.2857142857142858
ecdf,260.9,0.35714285714285715,0.3571428571428573
ecdf,269.0,0.42857142857142855,0.4285714285714297
ecdf,270.0,0.5,0.5000000000000013
ecdf,277.0,0.5714285714285714,0.571428571428573
ecdf,285.0,0.6428571428571429,0.6428571428571446
ecdf,286.0,0.7142857142857143,0.7142857142857146
ecdf,293.0,0.7857142857142857,0.785714285714286
ecdf,296.0,0.8571428571428571,0.8571428571428572
ecdf,297.3,0.9285714285714286,0.9285714285714284
ecdf,318.1,1.0,0.9999999999999996
