series,predicted,residual
point,278.19128033511424,6.808719664885757
point,269.72778088860116,0.27221911139884014
point,265.4960311653446,-5.496031165344618
point,278.19128033511424,-1.191280335114243
point,277.4154595525172,8.584540447482823
point,276.71016793197447,19.289832068025532
point,276.0048763114317,-7.004876311431701
point,278.19128033511424,14.808719664885757
point,278.0502220110057,-90.25022201100569
point,277.83863452484286,-154.43863452484285
point,277.4859887145715,19.814011285428535
point,276.7806970940287,-18.78069709402871
point,278.19128033511424,-17.291280335114266
point,274.66482223240047,43.435177767599555
